Pair_ID,Project_A_ID,Project_B_ID,Project_A_Title,Project_B_Title,Project_A_Abstract,Project_B_Abstract,Project_A_Features,Project_B_Features,Project_A_Keywords,Project_B_Keywords,SBERT_Similarity,TFIDF_Similarity,Cosine_Similarity,Faculty_Label,AI_Label,Similarity_Category,Reviewer_Name,Review_Date,Comments
SB0126,PRJ0033,PRJ0034,Real Estate Property Listing Platform,Property Search and Listing Web Application,"A website where users can list, search, and filter properties for sale or rent with map integration.","This platform lets users browse property listings with filters for price, location, and amenities.",MERN Stack; Google Maps API,Next.js; MongoDB; Maps API,"real estate, property listing, maps, search","property search, listing platform, filters, real estate",0.97,0.737,0.887,Similar,Similar,Duplicate / Near-Duplicate,Dr. R. Kumar,2025-12-05,"Same core idea, only the wording and framing differ."
SB0127,PRJ0008,PRJ0017,Smart Irrigation System using Soil Moisture Sensors,Wearable Vitals Tracking System with Cloud Sync,An IoT-based system that waters crops automatically when soil moisture drops below a set threshold.,This wearable tracks vital signs in real time and syncs the data to a cloud dashboard for doctors to view.,Arduino; Soil Moisture Sensor; Relay Pump,SpO2 Sensor; ESP32; Firebase,"smart irrigation, soil moisture, iot, arduino","vitals tracking, wearable, cloud sync, patient monitoring",0.55,0.414,0.562,Partially Similar,Partially Similar,Same-Domain Variant,Dr. K. Rao,2026-06-23,Partial conceptual overlap; not flagged as duplicate.
SB0128,PRJ0044,PRJ0082,College FAQ Chatbot using NLP,Sales Demand Forecasting using Time Series Models,"A rule-based chatbot that answers common student queries about admissions, fees, and courses.",This project forecasts future product demand using historical sales data and time series modelling.,Rasa; Rule Engine; Web Widget,ARIMA; Prophet; Pandas,"chatbot, faq, nlp, rasa","time series, sales forecasting, demand prediction, arima",0.566,0.412,0.561,Partially Similar,Similar,Same-Domain Variant,Dr. K. Rao,2026-03-13,Same general domain but tackles a different problem.
SB0129,PRJ0047,PRJ0048,Blockchain-based Student Council Voting System,Tamper-proof Digital Voting Platform,A voting platform that records votes immutably on a blockchain to prevent tampering in student elections.,This project uses blockchain to ensure votes cast in an election cannot be altered after submission.,Ethereum; Solidity Smart Contract,Solidity; Web3.js; MetaMask Integration,"blockchain voting, elections, tamper-proof, smart contract","digital voting, tamper-proof, blockchain, election",0.832,0.848,0.837,Similar,Partially Similar,Duplicate / Near-Duplicate,Dr. N. Krishnan,2025-08-02,Very close match; core methodology is identical.
SB0130,PRJ0008,PRJ0081,Smart Irrigation System using Soil Moisture Sensors,Retail Demand Prediction System,An IoT-based system that waters crops automatically when soil moisture drops below a set threshold.,A forecasting tool that predicts upcoming retail demand trends based on past transaction data.,Arduino; Soil Moisture Sensor; Relay Pump,LSTM; Time Series Analysis; Dashboard,"smart irrigation, soil moisture, iot, arduino","demand prediction, retail, time series, lstm",0.055,0.083,0.071,Different,Different,Cross-Domain Distinct,Dr. K. Rao,2026-03-03,No similarity concerns; clearly distinct projects.
SB0131,PRJ0012,PRJ0011,Real-time Object Detection using YOLO,Live Video Multi-Object Recognition System,A system that detects and labels multiple objects in a video stream in real time using YOLO.,This project identifies and tracks multiple objects live from a camera feed using a deep learning detector.,YOLOv8; OpenCV; PyTorch,YOLOv5; Deep Learning; Video Stream,"object detection, yolo, real-time, computer vision","multi-object recognition, live detection, deep learning, tracking",0.905,0.75,0.809,Similar,Similar,Duplicate / Near-Duplicate,Prof. P. Menon,2026-06-25,Essentially the same project with a different title.
SB0132,PRJ0031,PRJ0032,Pneumonia Detection from Chest X-rays using CNN,Chest X-ray based Lung Disease Classifier,A deep learning model that classifies chest X-ray images to detect signs of pneumonia.,This project uses a CNN to classify chest X-rays for common lung conditions including pneumonia.,CNN; Transfer Learning (ResNet); Keras,VGG16 Transfer Learning; TensorFlow,"pneumonia detection, chest x-ray, cnn, medical imaging","lung disease, x-ray classification, cnn, transfer learning",0.919,0.854,0.955,Similar,Similar,Duplicate / Near-Duplicate,Dr. A. Sharma,2026-07-04,Near-duplicate concept; recommend flagging for review.
SB0133,PRJ0069,PRJ0047,Blockchain-based Academic Certificate Verification,Blockchain-based Student Council Voting System,A system that issues and verifies degree certificates on a blockchain ledger to prevent forgery.,A voting platform that records votes immutably on a blockchain to prevent tampering in student elections.,Ethereum; Solidity; IPFS,Ethereum; Solidity Smart Contract,"blockchain, certificate verification, ethereum, forgery prevention","blockchain voting, elections, tamper-proof, smart contract",0.629,0.521,0.631,Partially Similar,Partially Similar,Same-Domain Variant,Dr. V. Nair,2026-02-08,Shares a tech stack but solves a different use case.
SB0134,PRJ0034,PRJ0033,Property Search and Listing Web Application,Real Estate Property Listing Platform,"This platform lets users browse property listings with filters for price, location, and amenities.","A website where users can list, search, and filter properties for sale or rent with map integration.",Next.js; MongoDB; Maps API,MERN Stack; Google Maps API,"property search, listing platform, filters, real estate","real estate, property listing, maps, search",0.969,0.788,0.824,Similar,Similar,Duplicate / Near-Duplicate,Dr. N. Krishnan,2025-11-27,Essentially the same project with a different title.
SB0135,PRJ0076,PRJ0083,Text Plagiarism Detection using Sentence Embeddings,Real-time Pollution Level Tracking Device,This tool compares submitted assignments against a reference corpus to flag copied or paraphrased content.,This IoT device continuously tracks air pollutants and displays real-time readings to nearby residents.,Sentence-BERT; Cosine Similarity,Gas Sensors; ESP32; Mobile Alert,"plagiarism detection, sbert, text similarity, originality","pollution tracking, real-time, iot device, air monitoring",0.126,0.12,0.068,Different,Different,Cross-Domain Distinct,Prof. T. Joseph,2026-05-30,Unrelated problem statements; safe to treat as distinct.
SB0136,PRJ0085,PRJ0014,Smart Farming Disease Diagnosis Tool,Agricultural Yield Forecasting System,An AI tool that helps farmers diagnose plant disease from a photo and recommends the right treatment.,"A forecasting tool that estimates farm output based on rainfall, temperature, and soil quality data.",ResNet Transfer Learning; Flask API,Linear Regression; Soil Data; Dashboard,"smart farming, disease diagnosis, treatment recommendation, ai","yield forecasting, agriculture, weather data, ml",0.41,0.35,0.594,Partially Similar,Different,Same-Domain Variant,Dr. V. Nair,2026-02-20,"Related field, distinct core idea — not a duplicate."
SB0137,PRJ0063,PRJ0013,Plant Leaf Disease Detection using CNN,Crop Yield Prediction using Machine Learning,A mobile-friendly tool that classifies plant leaf photographs to identify common crop diseases early.,This project predicts expected crop yield for a region using historical weather and soil data.,CNN; TensorFlow; Transfer Learning; Mobile App,Random Forest Regression; Weather API,"plant disease, cnn, leaf classification, agriculture","crop yield, prediction, ml, agriculture",0.585,0.306,0.384,Partially Similar,Partially Similar,Same-Domain Variant,Prof. T. Joseph,2026-01-13,"Some overlap in techniques used, but the objectives differ."
SB0138,PRJ0046,PRJ0098,Online Shopping Platform with Payment Gateway,CI/CD Pipeline for Student App,"This web app lets customers browse products, add to cart, and pay securely online.",This project sets up an automated build-test-deploy pipeline for a student web application.,Django; Razorpay API; PostgreSQL,GitHub Actions; Docker; Jenkins,"online shopping, payment gateway, django, cart","ci/cd, devops, docker, automation",0.098,0.248,0.029,Different,Different,Cross-Domain Distinct,Dr. V. Nair,2026-05-09,Different tech stack and different target use case.
SB0139,PRJ0023,PRJ0024,Anomaly-based Network Threat Detector,Network Intrusion Detection System using ML,"This project detects abnormal network behaviour that may indicate a cyberattack, using an ML classifier.",A system that monitors network traffic and flags suspicious patterns indicative of an intrusion.,Isolation Forest; NetFlow data; Dashboard,Random Forest; Wireshark logs; Feature Engineering,"network anomaly, threat detection, cybersecurity, ml","intrusion detection, network security, ml, anomaly",0.853,0.799,0.848,Similar,Similar,Duplicate / Near-Duplicate,Dr. R. Kumar,2026-07-15,Very close match; core methodology is identical.
SB0140,PRJ0008,PRJ0045,Smart Irrigation System using Soil Moisture Sensors,Full-Stack E-Commerce Web Application,An IoT-based system that waters crops automatically when soil moisture drops below a set threshold.,"A complete online store with product catalog, shopping cart, and secure checkout for a small business.",Arduino; Soil Moisture Sensor; Relay Pump,MERN Stack; Stripe API; JWT Auth,"smart irrigation, soil moisture, iot, arduino","ecommerce, online store, mern, shopping cart",0.026,0.125,0.113,Different,Different,Cross-Domain Distinct,Prof. P. Menon,2025-10-30,Completely different domain and objective.
SB0141,PRJ0002,PRJ0051,Medication Safety Interaction Alert System,Cardiac Risk Assessment Tool using ML,This system checks a patient's prescription list and alerts pharmacists to unsafe drug combinations.,A tool that assesses cardiac risk from patient vitals using a trained classification model.,Drug Database API; Alert Dashboard,Random Forest; Scikit-learn; Web Form,"medication safety, interaction alert, pharmacy, prescriptions","cardiac risk, ml classifier, patient vitals, health",0.488,0.37,0.639,Partially Similar,Partially Similar,Same-Domain Variant,Prof. L. Fernandes,2026-04-23,"Some overlap in techniques used, but the objectives differ."
SB0142,PRJ0018,PRJ0099,IoT-based Remote Patient Health Monitoring,Wearable ECG Anomaly Detection System,A device that continuously tracks a patient's heart rate and oxygen level and uploads readings to the cloud.,A wearable device that continuously monitors ECG signals and uses a trained model to flag irregular heartbeats in real time.,Pulse Sensor; ESP32; Cloud Dashboard,1D-CNN; LSTM; Wearable Sensor; Cloud Sync,"health monitoring, iot, remote patient, vitals","ecg, arrhythmia detection, wearable, cnn",0.246,0.181,0.132,Different,Different,Cross-Domain Distinct,Prof. T. Joseph,2025-12-02,Completely different domain and objective.
SB0143,PRJ0085,PRJ0063,Smart Farming Disease Diagnosis Tool,Plant Leaf Disease Detection using CNN,An AI tool that helps farmers diagnose plant disease from a photo and recommends the right treatment.,A mobile-friendly tool that classifies plant leaf photographs to identify common crop diseases early.,ResNet Transfer Learning; Flask API,CNN; TensorFlow; Transfer Learning; Mobile App,"smart farming, disease diagnosis, treatment recommendation, ai","plant disease, cnn, leaf classification, agriculture",0.825,0.821,0.81,Similar,Similar,Duplicate / Near-Duplicate,Dr. K. Rao,2025-09-20,"Same core idea, only the wording and framing differ."
SB0144,PRJ0062,PRJ0061,Password Strength and Breach Checker Tool,Secure Password Validation and Breach Alert System,A tool that evaluates password strength and checks it against known data-breach databases.,This project validates password strength at signup and warns users if the password appears in a known breach.,Regex Rules; Have I Been Pwned API,Entropy Calculation; Breach API,"password strength, breach check, security tool, validation","password validation, breach alert, signup security, entropy",0.942,0.677,0.83,Similar,Similar,Duplicate / Near-Duplicate,Dr. N. Krishnan,2025-08-12,Essentially the same project with a different title.
SB0145,PRJ0017,PRJ0033,Wearable Vitals Tracking System with Cloud Sync,Real Estate Property Listing Platform,This wearable tracks vital signs in real time and syncs the data to a cloud dashboard for doctors to view.,"A website where users can list, search, and filter properties for sale or rent with map integration.",SpO2 Sensor; ESP32; Firebase,MERN Stack; Google Maps API,"vitals tracking, wearable, cloud sync, patient monitoring","real estate, property listing, maps, search",0.042,0.059,0.238,Different,Different,Cross-Domain Distinct,Prof. S. Iyer,2025-10-24,Completely different domain and objective.
SB0146,PRJ0080,PRJ0042,Adaptive Traffic Light Management using Computer Vision,AI-based Resume Screening and Matching Tool,A traffic light system that adapts green-light duration based on live traffic density analysis.,This tool ranks candidate resumes against a job description using NLP-based keyword and semantic matching.,OpenCV; Vehicle Counting; Microcontroller,spaCy NER; Cosine Similarity; Flask,"adaptive traffic light, vehicle counting, opencv, management","resume screening, matching, nlp, hr automation",0.127,0.236,0.141,Different,Different,Cross-Domain Distinct,Prof. S. Iyer,2026-06-13,Different tech stack and different target use case.
SB0147,PRJ0047,PRJ0069,Blockchain-based Student Council Voting System,Blockchain-based Academic Certificate Verification,A voting platform that records votes immutably on a blockchain to prevent tampering in student elections.,A system that issues and verifies degree certificates on a blockchain ledger to prevent forgery.,Ethereum; Solidity Smart Contract,Ethereum; Solidity; IPFS,"blockchain voting, elections, tamper-proof, smart contract","blockchain, certificate verification, ethereum, forgery prevention",0.529,0.339,0.431,Partially Similar,Similar,Same-Domain Variant,Dr. K. Rao,2026-06-11,Same general domain but tackles a different problem.
SB0148,PRJ0072,PRJ0023,Ransomware Behaviour Detection using File Monitoring,Anomaly-based Network Threat Detector,A tool that monitors file-system activity to detect the rapid mass encryption typical of ransomware attacks.,"This project detects abnormal network behaviour that may indicate a cyberattack, using an ML classifier.",File System Hooks; ML Classifier,Isolation Forest; NetFlow data; Dashboard,"ransomware detection, file monitoring, ml, endpoint security","network anomaly, threat detection, cybersecurity, ml",0.632,0.429,0.403,Partially Similar,Partially Similar,Same-Domain Variant,Dr. A. Sharma,2026-04-02,"Some overlap in techniques used, but the objectives differ."
SB0149,PRJ0011,PRJ0012,Live Video Multi-Object Recognition System,Real-time Object Detection using YOLO,This project identifies and tracks multiple objects live from a camera feed using a deep learning detector.,A system that detects and labels multiple objects in a video stream in real time using YOLO.,YOLOv5; Deep Learning; Video Stream,YOLOv8; OpenCV; PyTorch,"multi-object recognition, live detection, deep learning, tracking","object detection, yolo, real-time, computer vision",0.901,0.805,0.892,Similar,Similar,Duplicate / Near-Duplicate,Prof. S. Iyer,2026-06-18,Near-duplicate concept; recommend flagging for review.
SB0150,PRJ0013,PRJ0014,Crop Yield Prediction using Machine Learning,Agricultural Yield Forecasting System,This project predicts expected crop yield for a region using historical weather and soil data.,"A forecasting tool that estimates farm output based on rainfall, temperature, and soil quality data.",Random Forest Regression; Weather API,Linear Regression; Soil Data; Dashboard,"crop yield, prediction, ml, agriculture","yield forecasting, agriculture, weather data, ml",0.85,0.689,0.925,Similar,Similar,Duplicate / Near-Duplicate,Dr. V. Nair,2025-08-05,Very close match; core methodology is identical.
SB0151,PRJ0065,PRJ0053,Skin Disease Classification from Images using CNN,VR-based Virtual Campus Tour Application,A deep learning model that classifies skin lesion photographs as benign or potentially malignant.,A VR experience that lets prospective students explore a 3D model of the college campus remotely.,CNN; Transfer Learning; Mobile App,Unity; VR SDK; 3D Modelling,"skin disease, cnn, dermatology, classification","virtual reality, campus tour, unity, immersive",0.065,0.234,0.027,Different,Different,Cross-Domain Distinct,Prof. P. Menon,2025-08-01,No meaningful overlap between the two projects.
SB0152,PRJ0037,PRJ0038,Mental Health Support Chatbot for Students,AI-based Student Wellbeing Check-in Assistant,A conversational AI that offers supportive check-ins and basic mental-health screening for students.,This assistant conducts regular wellbeing check-ins with students and flags signs of distress to counselors.,NLP; LLM API; Mood Tracking,Sentiment Analysis; LLM; Mobile App,"mental health, chatbot, wellbeing, screening","wellbeing, student support, sentiment analysis, mental health",0.798,0.758,0.839,Similar,Similar,Duplicate / Near-Duplicate,Prof. S. Iyer,2025-09-01,"Same core idea, only the wording and framing differ."
SB0153,PRJ0053,PRJ0045,VR-based Virtual Campus Tour Application,Full-Stack E-Commerce Web Application,A VR experience that lets prospective students explore a 3D model of the college campus remotely.,"A complete online store with product catalog, shopping cart, and secure checkout for a small business.",Unity; VR SDK; 3D Modelling,MERN Stack; Stripe API; JWT Auth,"virtual reality, campus tour, unity, immersive","ecommerce, online store, mern, shopping cart",0.261,0.246,0.287,Different,Different,Cross-Domain Distinct,Dr. N. Krishnan,2026-01-07,Different tech stack and different target use case.
SB0154,PRJ0021,PRJ0073,IoT-based Garbage Collection Alert System,Real-time Food Order Tracking Application,A system that monitors bin fill levels city-wide and optimizes garbage truck collection routes.,This app allows users to place food orders and track the delivery agent's location live.,Sensor Network; Route Optimization; Cloud App,React Native; Node.js; Socket.io,"garbage collection, iot alert, route optimization, smart city","food ordering, order tracking, real-time, delivery app",0.152,0.113,0.251,Different,Different,Cross-Domain Distinct,Dr. A. Sharma,2026-01-01,No similarity concerns; clearly distinct projects.
SB0155,PRJ0072,PRJ0015,Ransomware Behaviour Detection using File Monitoring,Automated Object Sorting Robotic Arm,A tool that monitors file-system activity to detect the rapid mass encryption typical of ransomware attacks.,This robotic arm sorts objects by size/color and places them into designated bins automatically.,File System Hooks; ML Classifier,Servo Control; Color Sensor; Arduino,"ransomware detection, file monitoring, ml, endpoint security","object sorting, robotic arm, automation, color sensor",0.267,0.129,0.11,Different,Different,Cross-Domain Distinct,Prof. T. Joseph,2025-10-06,No similarity concerns; clearly distinct projects.
SB0156,PRJ0086,PRJ0006,Line Following Robot using IR Sensors,Lecture Transcription Tool using Speech-to-Text,A basic autonomous robot that follows a marked line on the floor using infrared sensors.,A tool that converts recorded lecture audio into searchable text transcripts automatically.,IR Sensor; Arduino Uno; DC Motors,OpenAI Whisper; Audio Preprocessing,"line following, robot, ir sensor, arduino","speech to text, transcription, whisper, lecture",0.109,0.25,0.146,Different,Different,Cross-Domain Distinct,Prof. L. Fernandes,2025-09-30,No meaningful overlap between the two projects.
SB0157,PRJ0083,PRJ0019,Real-time Pollution Level Tracking Device,Real-time Virtual Replica of Industrial Process,This IoT device continuously tracks air pollutants and displays real-time readings to nearby residents.,This project creates a digital twin of an industrial process to test changes virtually before applying them.,Gas Sensors; ESP32; Mobile Alert,3D Simulation; Sensor Integration; Dashboard,"pollution tracking, real-time, iot device, air monitoring","virtual replica, industrial simulation, digital twin, real-time",0.673,0.424,0.514,Partially Similar,Different,Same-Domain Variant,Dr. K. Rao,2025-09-10,Same general domain but tackles a different problem.
SB0158,PRJ0063,PRJ0014,Plant Leaf Disease Detection using CNN,Agricultural Yield Forecasting System,A mobile-friendly tool that classifies plant leaf photographs to identify common crop diseases early.,"A forecasting tool that estimates farm output based on rainfall, temperature, and soil quality data.",CNN; TensorFlow; Transfer Learning; Mobile App,Linear Regression; Soil Data; Dashboard,"plant disease, cnn, leaf classification, agriculture","yield forecasting, agriculture, weather data, ml",0.679,0.503,0.641,Partially Similar,Different,Same-Domain Variant,Dr. V. Nair,2026-05-05,Same general domain but tackles a different problem.
SB0159,PRJ0009,PRJ0024,Fake News Detection using NLP,Network Intrusion Detection System using ML,A classifier that determines whether a news article is likely to be fake based on textual features.,A system that monitors network traffic and flags suspicious patterns indicative of an intrusion.,BERT; TF-IDF; Logistic Regression,Random Forest; Wireshark logs; Feature Engineering,"fake news, nlp, classification, misinformation","intrusion detection, network security, ml, anomaly",0.179,0.012,0.202,Different,Different,Cross-Domain Distinct,Dr. A. Sharma,2026-02-27,Completely different domain and objective.
SB0160,PRJ0030,PRJ0077,AI-Powered Smart Attendance using Facial Detection,Automated Essay Scoring System using NLP,"This project uses facial detection to automatically log student presence in real time, reducing proxy attendance and manual errors.",This tool automatically scores free-text student answers using NLP-based semantic similarity to a model answer.,MTCNN; Deep Learning; MySQL; Flask,BERT; Sentence Similarity; Flask,"facial detection, smart attendance, deep learning, automation","auto grading, essay scoring, nlp, bert",0.173,0.135,0.183,Different,Different,Cross-Domain Distinct,Prof. P. Menon,2026-02-17,Different tech stack and different target use case.
SB0161,PRJ0039,PRJ0040,ML-based Malicious Website Identifier,Phishing URL Detection using Machine Learning,"This project flags malicious/phishing websites in real time as a user browses, using a trained ML model.",A browser tool that classifies URLs as phishing or legitimate using engineered features and a trained classifier.,Logistic Regression; Feature Engineering; Browser Plugin,Random Forest; URL Feature Extraction; Chrome Extension,"malicious website detection, phishing, ml, browser plugin","phishing, url classification, machine learning, security",0.79,0.9,0.926,Similar,Partially Similar,Duplicate / Near-Duplicate,Dr. A. Sharma,2026-02-25,Near-duplicate concept; recommend flagging for review.
SB0162,PRJ0068,PRJ0062,Customer Feedback Sentiment Classifier,Password Strength and Breach Checker Tool,This project analyses customer feedback text to determine overall sentiment trends over time.,A tool that evaluates password strength and checks it against known data-breach databases.,BERT fine-tuning; Pandas; Chart.js,Regex Rules; Have I Been Pwned API,"feedback analysis, sentiment classification, bert, trends","password strength, breach check, security tool, validation",0.094,0.154,0.222,Different,Different,Cross-Domain Distinct,Dr. N. Krishnan,2025-11-14,No meaningful overlap between the two projects.
SB0163,PRJ0083,PRJ0084,Real-time Pollution Level Tracking Device,IoT-based Air Quality Monitoring System,This IoT device continuously tracks air pollutants and displays real-time readings to nearby residents.,A device that measures pollutant levels in the air and reports a live air quality index on a dashboard.,Gas Sensors; ESP32; Mobile Alert,MQ135 Sensor; ESP32; Cloud Dashboard,"pollution tracking, real-time, iot device, air monitoring","air quality, iot, pollution monitoring, dashboard",0.917,0.752,0.888,Similar,Similar,Duplicate / Near-Duplicate,Dr. N. Krishnan,2026-01-21,High overlap in approach and objective — likely a duplicate submission.
SB0164,PRJ0016,PRJ0086,Robotic Arm for Pick and Place Automation,Line Following Robot using IR Sensors,A robotic arm that automates picking objects from one location and placing them in another.,A basic autonomous robot that follows a marked line on the floor using infrared sensors.,Servo Motors; Arduino; Inverse Kinematics,IR Sensor; Arduino Uno; DC Motors,"robotic arm, pick and place, automation, servo","line following, robot, ir sensor, arduino",0.492,0.395,0.605,Partially Similar,Partially Similar,Same-Domain Variant,Dr. N. Krishnan,2026-04-08,"Related field, distinct core idea — not a duplicate."
SB0165,PRJ0035,PRJ0058,Distributed Model Training without Data Sharing,AI-based Online Exam Proctoring System,This project trains a machine learning model across multiple devices while keeping each device's data local.,A system that monitors students during online exams using face and eye-tracking to flag suspicious behaviour.,PySyft; Federated Averaging,Face Detection; Eye Tracking; Alert Logging,"distributed training, federated learning, privacy-preserving, ml","proctoring, online exam, face detection, monitoring",0.082,0.246,0.138,Different,Partially Similar,Cross-Domain Distinct,Dr. N. Krishnan,2025-09-17,Completely different domain and objective.
SB0166,PRJ0033,PRJ0090,Real Estate Property Listing Platform,Crowdfunding Platform for Student Projects,"A website where users can list, search, and filter properties for sale or rent with map integration.",A web platform where students can create fundraising campaigns for their projects and receive contributions online.,MERN Stack; Google Maps API,MERN Stack; Stripe API,"real estate, property listing, maps, search","crowdfunding, fundraising, student projects, payments",0.457,0.536,0.587,Partially Similar,Partially Similar,Same-Domain Variant,Prof. P. Menon,2025-10-01,"Related field, distinct core idea — not a duplicate."
SB0167,PRJ0044,PRJ0062,College FAQ Chatbot using NLP,Password Strength and Breach Checker Tool,"A rule-based chatbot that answers common student queries about admissions, fees, and courses.",A tool that evaluates password strength and checks it against known data-breach databases.,Rasa; Rule Engine; Web Widget,Regex Rules; Have I Been Pwned API,"chatbot, faq, nlp, rasa","password strength, breach check, security tool, validation",0.1,0.101,0.239,Different,Different,Cross-Domain Distinct,Prof. P. Menon,2026-02-01,Different tech stack and different target use case.
SB0168,PRJ0004,PRJ0023,Covert Data Hiding using LSB Steganography,Anomaly-based Network Threat Detector,This project conceals confidential data within an image so it can be transmitted covertly.,"This project detects abnormal network behaviour that may indicate a cyberattack, using an ML classifier.",LSB Encoding; PIL; Encryption Layer,Isolation Forest; NetFlow data; Dashboard,"data hiding, lsb steganography, covert communication, encryption","network anomaly, threat detection, cybersecurity, ml",0.572,0.526,0.385,Partially Similar,Partially Similar,Same-Domain Variant,Dr. V. Nair,2026-06-08,"Some overlap in techniques used, but the objectives differ."
SB0169,PRJ0025,PRJ0026,SQL Injection Detection Tool for Web Forms,Web Application Firewall Prototype against Injection Attacks,A tool that inspects form input in real time to detect and block SQL injection attack patterns.,This project builds a lightweight firewall that filters malicious SQL/script injection attempts on a web app.,Regex Rules; ML Classifier; WAF Layer,Pattern Matching; Request Filtering,"sql injection, web security, detection tool, waf","web application firewall, injection attack, security prototype, filtering",0.926,0.735,0.812,Similar,Similar,Duplicate / Near-Duplicate,Dr. N. Krishnan,2026-04-14,"Same core idea, only the wording and framing differ."
SB0170,PRJ0076,PRJ0047,Text Plagiarism Detection using Sentence Embeddings,Blockchain-based Student Council Voting System,This tool compares submitted assignments against a reference corpus to flag copied or paraphrased content.,A voting platform that records votes immutably on a blockchain to prevent tampering in student elections.,Sentence-BERT; Cosine Similarity,Ethereum; Solidity Smart Contract,"plagiarism detection, sbert, text similarity, originality","blockchain voting, elections, tamper-proof, smart contract",0.289,0.044,0.054,Different,Different,Cross-Domain Distinct,Dr. K. Rao,2026-01-09,Unrelated problem statements; safe to treat as distinct.
SB0171,PRJ0024,PRJ0023,Network Intrusion Detection System using ML,Anomaly-based Network Threat Detector,A system that monitors network traffic and flags suspicious patterns indicative of an intrusion.,"This project detects abnormal network behaviour that may indicate a cyberattack, using an ML classifier.",Random Forest; Wireshark logs; Feature Engineering,Isolation Forest; NetFlow data; Dashboard,"intrusion detection, network security, ml, anomaly","network anomaly, threat detection, cybersecurity, ml",0.963,0.677,0.755,Similar,Similar,Duplicate / Near-Duplicate,Dr. K. Rao,2025-11-10,High overlap in approach and objective — likely a duplicate submission.
SB0172,PRJ0030,PRJ0029,AI-Powered Smart Attendance using Facial Detection,Automated Classroom Attendance via Face Scanning,"This project uses facial detection to automatically log student presence in real time, reducing proxy attendance and manual errors.",A webcam-based tool that scans faces at the start of class and updates an attendance sheet automatically.,MTCNN; Deep Learning; MySQL; Flask,Haar Cascade; face_recognition library; Excel export,"facial detection, smart attendance, deep learning, automation","attendance automation, face scan, classroom, biometric",0.911,0.767,0.757,Similar,Similar,Duplicate / Near-Duplicate,Prof. L. Fernandes,2025-09-06,Essentially the same project with a different title.
SB0173,PRJ0001,PRJ0016,Drug Interaction Checker for Pharmacists,Robotic Arm for Pick and Place Automation,A tool that flags potentially dangerous interactions between multiple prescribed medicines.,A robotic arm that automates picking objects from one location and placing them in another.,Rule Engine; Drug Database API,Servo Motors; Arduino; Inverse Kinematics,"drug interaction, pharmacy tool, medicine safety, rule engine","robotic arm, pick and place, automation, servo",0.15,0.241,0.086,Different,Different,Cross-Domain Distinct,Dr. K. Rao,2026-01-15,Unrelated problem statements; safe to treat as distinct.
SB0174,PRJ0085,PRJ0032,Smart Farming Disease Diagnosis Tool,Chest X-ray based Lung Disease Classifier,An AI tool that helps farmers diagnose plant disease from a photo and recommends the right treatment.,This project uses a CNN to classify chest X-rays for common lung conditions including pneumonia.,ResNet Transfer Learning; Flask API,VGG16 Transfer Learning; TensorFlow,"smart farming, disease diagnosis, treatment recommendation, ai","lung disease, x-ray classification, cnn, transfer learning",0.23,0.099,0.293,Different,Different,Cross-Domain Distinct,Dr. V. Nair,2025-10-08,No meaningful overlap between the two projects.
SB0175,PRJ0053,PRJ0083,VR-based Virtual Campus Tour Application,Real-time Pollution Level Tracking Device,A VR experience that lets prospective students explore a 3D model of the college campus remotely.,This IoT device continuously tracks air pollutants and displays real-time readings to nearby residents.,Unity; VR SDK; 3D Modelling,Gas Sensors; ESP32; Mobile Alert,"virtual reality, campus tour, unity, immersive","pollution tracking, real-time, iot device, air monitoring",0.542,0.305,0.463,Partially Similar,Different,Same-Domain Variant,Prof. M. Reddy,2025-11-24,Shares a tech stack but solves a different use case.
SB0176,PRJ0083,PRJ0079,Real-time Pollution Level Tracking Device,AI-based Smart Traffic Signal Control System,This IoT device continuously tracks air pollutants and displays real-time readings to nearby residents.,This system adjusts traffic signal timing dynamically based on real-time vehicle density detected via camera.,Gas Sensors; ESP32; Mobile Alert,Computer Vision; Raspberry Pi; Signal Controller,"pollution tracking, real-time, iot device, air monitoring","smart traffic, signal control, computer vision, density",0.403,0.442,0.409,Partially Similar,Different,Same-Domain Variant,Dr. V. Nair,2026-04-26,Shares a tech stack but solves a different use case.
SB0177,PRJ0077,PRJ0058,Automated Essay Scoring System using NLP,AI-based Online Exam Proctoring System,This tool automatically scores free-text student answers using NLP-based semantic similarity to a model answer.,A system that monitors students during online exams using face and eye-tracking to flag suspicious behaviour.,BERT; Sentence Similarity; Flask,Face Detection; Eye Tracking; Alert Logging,"auto grading, essay scoring, nlp, bert","proctoring, online exam, face detection, monitoring",0.514,0.534,0.617,Partially Similar,Partially Similar,Same-Domain Variant,Dr. N. Krishnan,2026-01-12,"Some overlap in techniques used, but the objectives differ."
SB0178,PRJ0045,PRJ0090,Full-Stack E-Commerce Web Application,Crowdfunding Platform for Student Projects,"A complete online store with product catalog, shopping cart, and secure checkout for a small business.",A web platform where students can create fundraising campaigns for their projects and receive contributions online.,MERN Stack; Stripe API; JWT Auth,MERN Stack; Stripe API,"ecommerce, online store, mern, shopping cart","crowdfunding, fundraising, student projects, payments",0.405,0.378,0.421,Partially Similar,Partially Similar,Same-Domain Variant,Dr. V. Nair,2026-06-10,Shares a tech stack but solves a different use case.
