Taxonomy_ID,Domain,Sub_Domain,Topic,Parent_Topic,Description,Common_Keywords,Related_Keywords,Technologies,Algorithms,Programming_Languages,Frameworks,Libraries,Hardware,Typical_Datasets,Research_Areas,Application_Areas,Difficulty_Level,Industry,Emerging_Topic,Trend_Level,Related_Domains,Source,Notes
AE-0045,Computer Vision,Video Analysis,Action Recognition,Video Analysis,Classifying human actions and activities in video streams using deep learning.,"action recognition,activity,video classification,temporal,optical flow","two-stream,3D CNN,video transformer,skeleton-based,SlowFast",Python,"C3D,I3D,SlowFast,TimeSformer,VideoMAE,PoseConv3D",Python,PyTorch,"mmaction2, torchvision",GPU,"Kinetics-400,UCF-101,HMDB51,NTU RGB+D","Fine-grained Action Recognition,Video Understanding,Temporal Grounding","Surveillance,Sports Analytics,Healthcare Monitoring,HCI",Advanced,"Security,Sports,Healthcare",No,High,"Deep Learning,HCI",AcadEval Research Team,
AE-0046,Computer Vision,3D Vision,Point Cloud Processing,3D Vision,Processing and analyzing 3D point cloud data from LiDAR and depth sensors.,"point cloud,LiDAR,3D object detection,PointNet,voxel,depth sensor","surface reconstruction,3D segmentation,registration,ICP,occupancy grid","Python, C++","PointNet,PointNet++,VoxelNet,PointPillar,SECOND","Python,C++",PyTorch,"open3d, torch-points3d","GPU,LiDAR","ModelNet40,ShapeNet,KITTI,nuScenes,S3DIS","LiDAR-Camera Fusion,3D Instance Segmentation,Real-time 3D","Autonomous Driving,Robotics,AR/VR,Architecture",Expert,"Automotive,Robotics,Architecture",Yes,High,"Autonomous Vehicles,Robotics,AR/VR",AcadEval Research Team,
AE-0047,Computer Vision,Image Restoration,Super Resolution,Image Restoration,Upscaling low-resolution images to high-resolution using deep learning.,"super resolution,upscaling,SRCNN,SRGAN,ESRGAN,bicubic,PSNR,SSIM","image enhancement,denoising,blind restoration,perceptual loss",Python,"SRCNN,ESRGAN,RRDB,SwinIR,Real-ESRGAN",Python,PyTorch,"basicsr, spandrel",GPU,"Set5,Set14,BSD100,DIV2K","Blind Super-resolution,Video Super-resolution,Reference-based SR","Medical Imaging,Satellite Imagery,Surveillance,Photography",Intermediate,"Media,Healthcare,Remote Sensing",Yes,High,"Image Processing,Medical Imaging",AcadEval Research Team,
AE-0048,Computer Vision,Video Analysis,Video Object Tracking,Video Analysis,Tracking the location and trajectory of objects across video frames.,"object tracking,MOT,SOT,kalman filter,re-ID,ByteTrack,SORT","appearance model,motion model,data association,occlusion handling",Python,"SORT,ByteTrack,DeepSORT,OC-SORT,StrongSORT",Python,PyTorch,"ultralytics, trackeval",GPU,"MOT17,MOT20,DanceTrack,LaSOT","Long-term Tracking,Multi-camera Tracking,Open-world Tracking","Surveillance,Sports Analysis,Autonomous Driving,Healthcare",Intermediate,"Security,Sports,Automotive",Yes,High,"Deep Learning,Autonomous Vehicles",AcadEval Research Team,
AE-0049,Natural Language Processing,Text Classification,Sentiment Analysis,Text Classification,Determining sentiment polarity from text using NLP and ML.,"sentiment analysis,opinion mining,polarity,aspect-level,VADER,BERT","subjectivity,emotion,lexicon,aspect sentiment,multi-label sentiment",Python,"BERT,RoBERTa,VADER,TextCNN,Bi-LSTM",Python,"Hugging Face,PyTorch","transformers, nltk, vaderSentiment",,"SST-2,IMDb,SemEval,Twitter Sentiment,Amazon Reviews","Aspect-based Sentiment,Cross-lingual Sentiment,Multimodal Sentiment","Product Review,Social Media Monitoring,Brand Analysis,Healthcare Feedback",Beginner,"Retail,Finance,Marketing",No,High,"Machine Learning,Deep Learning",AcadEval Research Team,
AE-0050,Natural Language Processing,Text Classification,Spam Detection,Text Classification,Classifying messages as spam or legitimate content automatically.,"spam detection,email filter,ham,Bayesian filter,phishing","SMS spam,URL-based spam,content filtering,text classification",Python,"Naive Bayes,SVM,BERT,Logistic Regression",Python,"scikit-learn,Hugging Face","nltk, scikit-learn",,"Enron Email,SMS Spam Collection,SpamAssassin","Zero-day Spam,Adversarial Spam,Multi-lingual Spam","Email Filtering,SMS Filtering,Social Media Moderation",Beginner,"Telecom,Tech,Security",No,Medium,"Cyber Security,Machine Learning",AcadEval Research Team,
AE-0051,Natural Language Processing,Named Entity Recognition,NER Systems,Named Entity Recognition,Identifying and classifying named entities in text into predefined categories.,"NER,named entity,entity recognition,person,organization,location,CRF","biomedical NER,nested NER,multilingual NER,span detection",Python,"BiLSTM-CRF,BERT-NER,SpanBERT,Flair",Python,"Hugging Face,spaCy","transformers, spacy, flair",,"CoNLL-2003,OntoNotes,i2b2,BC5CDR","Low-resource NER,Cross-lingual NER,Nested NER","Information Extraction,Healthcare Records,Legal Documents,News Analysis",Intermediate,"Healthcare,Legal,Finance,Media",No,Medium,"Information Extraction,Deep Learning",AcadEval Research Team,
AE-0052,Natural Language Processing,Machine Translation,Neural Machine Translation,Machine Translation,Translating text between languages using neural sequence-to-sequence models.,"NMT,translation,encoder-decoder,BLEU score,beam search,multilingual","attention mechanism,subword tokenization,back-translation,low-resource MT",Python,"Transformer,mBART,MarianMT,M2M-100,NLLB",Python,"Hugging Face,fairseq","transformers, sacrebleu",GPU,"WMT Datasets,FLORES-200,OPUS","Low-resource Translation,Document-level MT,Speech Translation","Global Communication,Document Localization,Customer Support",Advanced,"Media,Tech,Government",No,High,"Deep Learning,Generative AI",AcadEval Research Team,
AE-0053,Natural Language Processing,Question Answering,Extractive QA,Question Answering,Extracting exact answer spans from a context document for given questions.,"QA,question answering,extractive,SQuAD,reading comprehension,span","BERT,context window,attention,F1 score,exact match,passage retrieval",Python,"BERT,RoBERTa,ALBERT,ELECTRA,DeBERTa",Python,Hugging Face,"transformers, datasets",GPU,"SQuAD 1.1,SQuAD 2.0,TriviaQA,Natural Questions","Multi-hop QA,Long-document QA,Multilingual QA","Customer Support,Search Engines,Education,Healthcare",Intermediate,"Tech,Healthcare,Education",No,High,"Deep Learning,Information Retrieval",AcadEval Research Team,
AE-0054,Natural Language Processing,Question Answering,Retrieval Augmented Generation,Question Answering,Grounding LLM responses with retrieved external knowledge to reduce hallucination.,"RAG,retrieval,augmented generation,vector store,embedding,FAISS","dense retrieval,sparse retrieval,hybrid search,document chunking,reranking",Python,"Dense Passage Retrieval,RAG,HyDE,Self-RAG",Python,"LangChain,LlamaIndex","faiss, chromadb, weaviate, pgvector",GPU,"NaturalQuestions,TriviaQA,MSMARCO","Multi-hop RAG,Long-context RAG,Agentic RAG","Enterprise Search,Legal,Healthcare QA,Research Assistance",Advanced,"Tech,Legal,Healthcare,Finance",Yes,High,"Generative AI,Information Retrieval",AcadEval Research Team,
AE-0055,Natural Language Processing,Text Summarization,Abstractive Summarization,Text Summarization,Generating concise summaries by paraphrasing content using language models.,"summarization,abstractive,ROUGE,BLEU,BART,T5,pointer network","extractive summarization,multi-document,query-based,news summarization",Python,"BART,T5,PEGASUS,mT5,UniSumm",Python,Hugging Face,"transformers, rouge-score",GPU,"CNN/DM,XSum,Arxiv,PubMed,MultiNews","Scientific Summarization,Multi-document Summarization","News,Research Papers,Meeting Notes,Legal Documents",Advanced,"Media,Legal,Research,Healthcare",No,High,"Generative AI,Deep Learning",AcadEval Research Team,
AE-0056,Natural Language Processing,Information Extraction,Relation Extraction,Information Extraction,Identifying relationships between entities in unstructured text.,"relation extraction,entity pair,triplet,distant supervision,TACRED","open information extraction,event extraction,knowledge base population",Python,"BERT,SpanBERT,REBEL,UniRE",Python,"Hugging Face,spaCy","transformers, spacy",,"TACRED,DocRED,NYT10,REBEL dataset","Cross-sentence Relation Extraction,Few-shot Relation Extraction","Knowledge Graph Construction,Scientific Text Mining,Legal Analysis",Advanced,"Healthcare,Finance,Legal,Research",Yes,High,"Knowledge Graphs,Information Retrieval",AcadEval Research Team,
AE-0057,Natural Language Processing,Dialogue Systems,Task-Oriented Dialogue,Dialogue Systems,Conversational agents designed to help users accomplish specific tasks.,"dialogue system,task-oriented,intent,slot,NLU,DM,NLG,chatbot","dialogue state tracking,belief state,policy,multi-turn,API call",Python,"BERT,GPT-2,MinTL,SPACE,GALAXY",Python,"Hugging Face,Rasa","transformers, rasa",,"MultiWOZ,DSTC,SGD,CamRest676","End-to-end Dialogue,Low-resource Dialogue,Personalization","Customer Service,Travel Booking,Restaurant Reservation,Healthcare",Advanced,"Tech,Retail,Healthcare,Hospitality",No,High,"Generative AI,Machine Learning",AcadEval Research Team,
AE-0058,Natural Language Processing,Text Generation,Language Modeling,Text Generation,Modeling probability distributions over text sequences for generation tasks.,"language model,perplexity,token,autoregressive,next-token prediction,LLM","masked LM,causal LM,pre-training,prompt,temperature,top-k sampling",Python,"GPT-2,GPT-3,LLaMA,Falcon,Mistral,Gemma",Python,Hugging Face,"transformers, accelerate, bitsandbytes",GPU,"Pile,C4,RedPajama,OpenWebText","Scaling Laws,Efficient LLMs,Instruction Tuning,RLHF","Text Generation,Code Completion,Creative Writing,Research Assistance",Expert,"Tech,Media,Research",Yes,High,"Generative AI,Deep Learning",AcadEval Research Team,
AE-0059,Generative AI,Large Language Models,Instruction Fine-tuning,Large Language Models,Fine-tuning LLMs on instruction-response pairs for better task alignment.,"instruction tuning,fine-tuning,RLHF,SFT,alignment,InstructGPT","prompt engineering,zero-shot,few-shot,chain-of-thought,LoRA,QLoRA",Python,"SFT,RLHF,DPO,PPO,LoRA,QLoRA",Python,"Hugging Face,TRL","transformers, peft, trl, accelerate",GPU,"Alpaca,Dolly,OpenAssistant,ShareGPT","Alignment,Safety,Efficient Fine-tuning,RLHF","Chatbots,Code Assistants,Domain-specific QA,Research Tools",Expert,"Tech,Research",Yes,High,"NLP,Deep Learning",AcadEval Research Team,
AE-0060,Generative AI,Diffusion Models,Text-to-Image Generation,Diffusion Models,Generating high-quality images from text prompts using denoising diffusion.,"diffusion model,stable diffusion,DDPM,denoising,score matching,CLIP","U-Net,noise schedule,classifier-free guidance,latent diffusion,ControlNet",Python,"DDPM,DDIM,LDM,SDXL,ControlNet,IP-Adapter",Python,"Hugging Face Diffusers,PyTorch","diffusers, accelerate",GPU,"LAION-5B,CC12M,COCO Captions","Controllable Generation,Personalization,Inpainting,Style Transfer","Creative Design,Marketing,Gaming,Film,Education",Intermediate,"Media,Creative,Gaming",Yes,High,"Computer Vision,Deep Learning",AcadEval Research Team,
AE-0061,Generative AI,Diffusion Models,Image Inpainting,Diffusion Models,Filling missing or corrupted regions in images using generative models.,"inpainting,image completion,masked region,diffusion,GAN,context","image restoration,guided inpainting,free-form mask,exemplar-based",Python,"Stable Diffusion Inpainting,LaMa,MAT,RePaint",Python,Hugging Face Diffusers,"diffusers, opencv-python",GPU,"Places2,FFHQ,ImageNet","High-resolution Inpainting,Video Inpainting,Semantic Inpainting","Photo Editing,Forensics,Medical Imaging,AR/VR",Intermediate,"Media,Healthcare,Legal",No,High,"Computer Vision,Image Processing",AcadEval Research Team,
AE-0062,Generative AI,Code Generation,AI-Assisted Programming,Code Generation,"Using LLMs to generate, complete, and explain code from natural language.","code generation,Copilot,CodeBERT,program synthesis,unit test generation","code completion,bug fixing,documentation,code review,refactoring","Python, JavaScript, TypeScript","GPT-4,Codex,StarCoder,DeepSeek-Coder,CodeLlama","Python,JavaScript",Hugging Face,transformers,GPU,"HumanEval,MBPP,CodeContests,SWE-Bench","Test Generation,Code Repair,Multi-language Code","Software Development,Education,Rapid Prototyping,DevOps",Advanced,"Tech,Education",Yes,High,"Software Engineering,NLP",AcadEval Research Team,
AE-0063,Generative AI,Multimodal AI,Vision-Language Models,Multimodal AI,Models that jointly understand and generate both visual and textual content.,"VLM,CLIP,image captioning,visual QA,multimodal,visual grounding","cross-modal attention,vision encoder,text encoder,grounding,VQA",Python,"CLIP,BLIP,LLaVA,Flamingo,GPT-4V,Gemini",Python,"Hugging Face,PyTorch","transformers, timm",GPU,"COCO Captions,VQA v2,Flickr30K,NoCaps","Referring Expression Comprehension,Dense Captioning,Embodied AI","Image Search,Accessibility,Medical Report Generation,E-commerce",Expert,"Tech,Healthcare,Retail",Yes,High,"Computer Vision,NLP,Deep Learning",AcadEval Research Team,
AE-0064,Generative AI,Multimodal AI,Audio-Text Generation,Multimodal AI,Generating and understanding audio content using language model techniques.,"text-to-speech,TTS,speech synthesis,audio LLM,voice cloning,Whisper","wav2vec,AudioLM,SoundStream,EnCodec,codec language model",Python,"Whisper,EnCodec,AudioLM,VoiceBox,Bark",Python,Hugging Face,"transformers, librosa, torchaudio",GPU,"LibriSpeech,VCTK,AudioSet,CommonVoice","Emotion-aware TTS,Multilingual TTS,Zero-shot Voice Cloning","Accessibility,Entertainment,Virtual Assistants,Customer Service",Advanced,"Media,Healthcare,Tech",Yes,High,"Signal Processing,NLP",AcadEval Research Team,
AE-0065,Generative AI,Prompt Engineering,Chain-of-Thought Prompting,Prompt Engineering,Eliciting multi-step reasoning from LLMs through structured prompt design.,"chain of thought,CoT,few-shot,zero-shot,reasoning,step-by-step,prompt","self-consistency,least-to-most,tree of thought,ReAct,tool use",Python,"Zero-shot CoT,Few-shot CoT,Self-Consistency,Tree-of-Thought",Python,"LangChain,LlamaIndex","openai, anthropic, google-generativeai",,"GSM8K,MATH,ARC,StrategyQA","Automated Prompt Optimization,Multi-step Reasoning","Mathematical Reasoning,Code Generation,Complex QA",Intermediate,"Tech,Education,Research",Yes,High,"NLP,Large Language Models",AcadEval Research Team,
AE-0066,Generative AI,AI Agents,Autonomous AI Agents,AI Agents,"LLM-powered agents that can plan, use tools, and take actions autonomously.","AI agent,LLM agent,tool use,planning,memory,ReAct,AutoGPT","function calling,web browsing,code execution,multi-agent,workflow",Python,"ReAct,Plan-and-Execute,Reflexion,AutoGen",Python,"LangChain,LangGraph,AutoGen","openai, anthropic, chromadb",,"WebArena,AgentBench,SWE-Bench","Multi-Agent Systems,Long-horizon Planning,Self-improving Agents","Research Automation,Software Development,Data Analysis,Customer Service",Expert,"Tech,Research,Finance",Yes,High,"NLP,Software Engineering,Robotics",AcadEval Research Team,
AE-0067,Generative AI,Video Generation,Text-to-Video Models,Video Generation,Generating realistic video clips from text descriptions using generative models.,"text-to-video,video generation,diffusion,temporal consistency,Sora","video LDM,frame prediction,motion synthesis,optical flow",Python,"VideoLDM,Sora,Runway Gen-2,Lumiere,CogVideo",Python,PyTorch,diffusers,GPU,"WebVid,UCF-101,Kinetics","Long Video Generation,Controllable Video,Video Editing","Film,Gaming,Education,Marketing",Expert,"Media,Creative,Gaming",Yes,High,"Computer Vision,Deep Learning",AcadEval Research Team,
AE-0068,Robotics,Robot Perception,SLAM,Robot Perception,Simultaneous Localization and Mapping for robots navigating unknown environments.,"SLAM,localization,mapping,odometry,loop closure,LiDAR,point cloud","visual SLAM,EKF-SLAM,graph SLAM,factor graph,occupancy map","C++, Python","EKF-SLAM,Graph-based SLAM,ORB-SLAM,LIO-SAM,LOAM","C++,Python",ROS,"g2o, GTSAM, open3d","LiDAR,IMU,Stereo Camera","KITTI,EuRoC,TUM RGB-D","Long-term SLAM,Semantic SLAM,Multi-robot SLAM","Autonomous Navigation,Warehouse Robots,Drones,Self-driving Cars",Expert,"Automotive,Logistics,Defense",No,High,"Computer Vision,Autonomous Vehicles",AcadEval Research Team,
AE-0069,Robotics,Robot Motion Planning,Path Planning,Robot Motion Planning,Computing collision-free paths for robots to navigate from start to goal.,"path planning,motion planning,A*,RRT,obstacle avoidance,configuration space","global planner,local planner,potential field,sampling-based,lattice","C++, Python","A*,Dijkstra,RRT,RRT*,PRM,D* Lite,DWA","C++,Python","ROS,MoveIt","OMPL, FCL, Bullet","Robot Arm,Mobile Robot","Gazebo Simulation,MoveIt Benchmarks","Dynamic Obstacle Avoidance,Multi-robot Planning,Kinodynamic Planning","Industrial Automation,Service Robots,Surgical Robots",Advanced,"Manufacturing,Healthcare,Logistics",No,High,"AI,Autonomous Vehicles",AcadEval Research Team,
AE-0070,Robotics,Robot Manipulation,Grasp Planning,Robot Manipulation,Planning and executing robot grasps on objects using perception and control.,"grasping,grasp planning,gripper,point cloud,grasp pose,dexterous","force control,tactile sensing,deformable object,sim-to-real","Python, C++","GQ-CNN,6-DoF GraspNet,Contact-GraspNet","Python,C++","ROS,MoveIt","open3d, pybullet","Robot Arm,Depth Camera","GraspNet-1Billion,YCB Objects,Dex-YCB","Deformable Object Manipulation,In-hand Manipulation","Industrial Assembly,E-commerce Fulfillment,Surgical Tools",Expert,"Manufacturing,Logistics,Healthcare",Yes,High,"Computer Vision,Deep Learning",AcadEval Research Team,
AE-0071,Robotics,Human-Robot Interaction,Collaborative Robots,HRI,Robots designed to safely work alongside humans in shared workspaces.,"cobots,human-robot collaboration,safety,force sensing,shared workspace","ISO/TS 15066,power and force limiting,speed separation,gesture control","Python, C++","Safety-guaranteed Control,Compliance Control","Python,C++",ROS,"MoveIt, PyBullet","Force-Torque Sensor,Cobot Arm","HRC Benchmarks,Assembly Datasets","Intent Prediction,Ergonomic Assessment,Trust in HRI","Manufacturing,Healthcare,Service Industry,Education",Advanced,"Manufacturing,Healthcare",Yes,High,"HCI,AI,Manufacturing",AcadEval Research Team,
AE-0072,Robotics,Swarm Robotics,Multi-Robot Coordination,Swarm Robotics,Coordinating large groups of simple robots to achieve complex collective tasks.,"swarm,multi-robot,coordination,formation,collective behavior,stigmergy","flocking,consensus,decentralized control,emergent behavior","Python, C++","Boid Algorithm,Consensus Algorithms,Auction Algorithms","Python,C++",ROS,"argos3, pybullet","Small Mobile Robots,Drones","ARGoS Benchmark,Robocup","Scalable Coordination,Fault Tolerance,Communication in Swarms","Search and Rescue,Precision Agriculture,Warehouse Automation",Expert,"Defense,Agriculture,Logistics",Yes,High,"AI,IoT,Drone Technology",AcadEval Research Team,
AE-0073,Robotics,Aerial Robotics,Drone Navigation,Aerial Robotics,Autonomous navigation and control of unmanned aerial vehicles.,"drone,UAV,quadcopter,flight controller,autopilot,waypoint,PID control","GPS waypoint,visual navigation,obstacle avoidance,geo-fencing","Python, C++","PID Control,MPC,SLAM,Deep RL","Python,C++","ROS,PX4,ArduPilot","pymavlink, dronekit","Flight Controller,GPS,IMU","MAVSDK Flight Datasets,UAV123","Autonomous Mission Planning,Visual Navigation,Swarm Drones","Surveying,Delivery,Precision Agriculture,Search and Rescue",Advanced,"Defense,Agriculture,Logistics",Yes,High,"Drone Technology,Computer Vision,GIS",AcadEval Research Team,
AE-0074,Robotics,Surgical Robotics,Autonomous Surgical Systems,Surgical Robotics,AI-powered robotic systems assisting in minimally invasive surgical procedures.,"surgical robot,da Vinci,laparoscopic,endoscope,surgical planning,haptic","tool tracking,tissue segmentation,force control,gesture recognition","Python, C++","Semantic Segmentation,RL-based Surgical Control,LSTM","Python,C++",ROS,"tensorflow, PyTorch",Robot-assisted Surgical System,"Cholec80,EndoVis,JIGSAWS,m2cai16","Surgical Phase Recognition,Robotic Tool Tracking,Outcome Prediction","Minimally Invasive Surgery,Orthopedics,Neurosurgery",Expert,Healthcare,Yes,High,"Medical Imaging,Deep Learning,Healthcare",AcadEval Research Team,
AE-0075,Internet of Things,Smart Home,Home Automation,Smart Home,Connected devices enabling remote control and automation of home appliances.,"smart home,home automation,IoT hub,voice control,smart plug,MQTT","home assistant,zigbee,z-wave,Matter protocol,energy management","Python, C","Rule-based Automation,ML-based Scheduling","Python,C","Home Assistant,Node-RED","paho-mqtt, zigpy","Raspberry Pi,Arduino,ESP32","UCI Appliances Energy,REFIT Smart Home","Energy Optimization,Privacy in Smart Home,Interoperability","Residential Automation,Elderly Care,Energy Saving",Beginner,"Consumer Electronics,Energy",No,High,"Embedded Systems,Cloud Computing,AI",AcadEval Research Team,
AE-0076,Internet of Things,Industrial IoT,Predictive Maintenance,Industrial IoT,Using sensor data to predict equipment failures before they occur.,"predictive maintenance,vibration,sensor,fault detection,condition monitoring","PHM,anomaly detection,remaining useful life,SCADA,time series",Python,"LSTM,CNN,Isolation Forest,Random Forest,XGBoost",Python,"scikit-learn,PyTorch","pandas, scipy, statsmodels","Vibration Sensor,IoT Gateway","NASA CMAPSS,PRONOSTIA,CWRU Bearing,PHM Data Challenge","Explainable Fault Diagnosis,Digital Twin Integration","Manufacturing,Energy,Mining,Transportation",Intermediate,"Manufacturing,Energy,Mining",Yes,High,"Manufacturing,Industry 4.0,Digital Twin",AcadEval Research Team,
AE-0077,Internet of Things,Healthcare IoT,Wearable Health Monitoring,Healthcare IoT,Continuous patient health monitoring using wearable IoT sensors.,"wearable,ECG,PPG,accelerometer,heart rate,SpO2,health monitoring","activity recognition,fall detection,sleep monitoring,biosignal","Python, C","CNN,LSTM,Decision Tree,SVM","Python,C","TensorFlow Lite,Arduino","scipy, biosppy, neurokit2","Wearable Sensor,ESP32","PhysioNet,MIMIC-III,WESAD,PAMAP2","Real-time Monitoring,Low-power ML,Privacy-preserving Wearables","Chronic Disease Management,Sports,Eldercare,Remote Patient Monitoring",Intermediate,"Healthcare,Sports",Yes,High,"Healthcare,Medical Imaging,Signal Processing",AcadEval Research Team,
AE-0078,Internet of Things,Edge Computing,Edge AI Inference,Edge Computing,Running AI model inference on edge devices close to data sources.,"edge AI,TensorFlow Lite,ONNX,model quantization,edge inference","model pruning,hardware acceleration,latency,power consumption,MCU","C, Python","Quantization-aware Training,Post-training Quantization","C,Python","TensorFlow Lite,OpenVINO","tflite, onnxruntime","Raspberry Pi,Jetson,ESP32","MLCommons Edge Benchmark,MLPerf Tiny","TinyML,Hardware-aware ML,Federated Edge Learning","Smart Cameras,Industrial Vision,Healthcare Devices,Smart Agriculture",Advanced,Cross-Industry,Yes,High,"Embedded Systems,Manufacturing,Healthcare",AcadEval Research Team,
AE-0079,Internet of Things,IoT Security,Device Authentication,IoT Security,Securing IoT device identity and communications against unauthorized access.,"IoT security,device authentication,certificate,TLS,PKI,firmware","zero trust,device fingerprinting,secure boot,OTA update,intrusion","C, Python","Lightweight Cryptography,PUF,Challenge-Response","C,Python",,"cryptography, pycryptodome","HSM,Secure Element","N-BaIoT,IoT-23,MedBIoT","Lightweight Security Protocols,Anomaly-based Detection","Smart Home,Industrial IoT,Healthcare Devices",Advanced,"Security,Healthcare,Manufacturing",Yes,High,"Cyber Security,Embedded Systems",AcadEval Research Team,
AE-0080,Internet of Things,IoT Protocols,MQTT and Message Brokers,IoT Protocols,Lightweight publish-subscribe messaging protocol for IoT communication.,"MQTT,broker,topic,QoS,publish,subscribe,Eclipse Mosquitto","CoAP,AMQP,DDS,payload,retained message,session","Python, C","QoS Algorithms,Message Routing","Python,C",,"paho-mqtt, mosquitto","IoT Gateway,Raspberry Pi",IoT benchmark datasets,"Scalable Broker Architecture,Secure MQTT,MQTT over 5G","Smart Home,Industrial Control,Fleet Management",Beginner,"Telecom,Manufacturing,Smart Cities",No,Medium,"Networking,Cloud Computing",AcadEval Research Team,
AE-0081,Internet of Things,Smart Agriculture IoT,Soil and Crop Sensing,Smart Agriculture IoT,IoT sensor networks for real-time monitoring of soil and crop conditions.,"soil sensor,crop monitoring,IoT,LoRa,humidity,temperature,NPK sensor","LoRaWAN,Sigfox,NB-IoT,sensor fusion,gateway,telemetry","Python, C","Statistical Analysis,ML Regression","Python,C","Arduino,LoRaWAN","pandas, paho-mqtt","Soil Sensor,LoRa Module,ESP32","Kaggle Agricultural IoT datasets,USDA crop monitoring data","Low-power IoT,Long-range Sensing,Multispectral Sensing","Precision Agriculture,Irrigation Control,Greenhouse Management",Intermediate,Agriculture,Yes,High,"Smart Farming,Agriculture,Remote Sensing",AcadEval Research Team,
AE-0082,Cyber Security,Network Security,Intrusion Detection Systems,Network Security,Detecting malicious activity in network traffic using ML and rule-based systems.,"IDS,IPS,network traffic,anomaly detection,signature,CICIDS","deep packet inspection,flow analysis,NIDS,HIDS,Snort,Suricata",Python,"Random Forest,LSTM,CNN,Autoencoder,Isolation Forest",Python,"scikit-learn,PyTorch","scapy, dpkt, pyshark",,"CICIDS-2017,NSL-KDD,UNSW-NB15,CAIDA","Zero-day Detection,Encrypted Traffic Analysis,Adversarial ML","Enterprise Security,ISP Networks,Government Systems",Intermediate,"Security,Telecom,Government",No,High,"Machine Learning,Networking",AcadEval Research Team,
AE-0083,Cyber Security,Malware Analysis,Static Malware Analysis,Malware Analysis,Analyzing malware binary features without execution to detect threats.,"malware,static analysis,PE header,opcode,byte n-gram,signature","disassembly,decompilation,CFG,entropy,import table,reverse engineering",Python,"Random Forest,CNN on byte sequences,Graph Neural Networks",Python,scikit-learn,"pefile, capstone, radare2, LIEF",,"VirusTotal,MalwareBazaar,BODMAS,EMBER","Obfuscation-robust Detection,Zero-day Malware,Code Similarity","Antivirus,SOC,Threat Intelligence Platforms",Advanced,Security,No,High,"Machine Learning,Reverse Engineering",AcadEval Research Team,
AE-0084,Cyber Security,Malware Analysis,Dynamic Malware Analysis,Malware Analysis,Executing malware in sandboxed environments to observe runtime behavior.,"dynamic analysis,sandbox,behavior,API call,system call,Cuckoo","process injection,registry,network behavior,memory forensics",Python,"Sequence Models,LSTM,Attention,HMM",Python,,"cuckoo-sandbox, volatility, pydbg",Virtual Machine,"Cuckoo Sandbox Reports,VirusShare,MalBehavD","Evasion-robust Analysis,Automated Unpacking,Multi-stage Malware","Antivirus,Threat Hunting,Incident Response",Advanced,Security,No,High,"Machine Learning,Digital Forensics",AcadEval Research Team,
AE-0085,Cyber Security,Cryptography,Post-Quantum Cryptography,Cryptography,Cryptographic algorithms resistant to attacks by quantum computers.,"post-quantum,lattice,CRYSTALS-Kyber,CRYSTALS-Dilithium,NIST PQC","lattice-based,hash-based,code-based,isogeny-based,quantum resistance","C, Python","Kyber,Dilithium,FALCON,SPHINCS+","C,Python",,"pqcrypto, liboqs",HSM,NIST PQC Competition Datasets,"Hybrid Cryptography,PQC Migration,Performance on Embedded","Government,Finance,Healthcare Data Protection",Expert,"Government,Finance,Defense",Yes,High,"Quantum Computing,Blockchain,Finance",AcadEval Research Team,
AE-0086,Cyber Security,Web Security,SQL Injection Detection,Web Security,Detecting and preventing SQL injection attacks in web applications.,"SQL injection,XSS,OWASP,input validation,WAF,parameterized query","cross-site scripting,CSRF,code injection,prepared statement,sanitization",Python,"ML-based WAF,Pattern Matching,BERT for vulnerability detection",Python,"Django,Flask","sqlmap, owasp-modsecurity",,"CSIC 2010,AWID,WAF Benchmark Datasets","Zero-day Web Attacks,Evasion against WAF,Adversarial Inputs","E-commerce,Banking,Government Web Portals",Intermediate,"Security,Tech",No,High,"Web Development,Machine Learning",AcadEval Research Team,
AE-0087,Cyber Security,Identity Management,Multi-Factor Authentication,Identity Management,Enhancing authentication security by requiring multiple verification factors.,"MFA,2FA,OTP,TOTP,FIDO2,WebAuthn,biometric,authentication","passkeys,hardware token,push notification,risk-based authentication","Python, JavaScript","Risk Scoring,Behavioral Biometrics","Python,JavaScript","Django,Node.js","pyotp, webauthn",,"Authentication Datasets,Keystroke Dynamics","Continuous Authentication,Phishing-resistant Auth","Banking,Enterprise,Healthcare,Government",Intermediate,"Security,Finance,Healthcare",Yes,High,"Blockchain,Cloud Computing",AcadEval Research Team,
AE-0088,Cyber Security,Threat Intelligence,Cyber Threat Hunting,Threat Intelligence,Proactively searching for hidden threats within networks and systems.,"threat hunting,MITRE ATT&CK,TTPs,IOC,threat actor,SIEM,EDR","lateral movement,persistence,command and control,OSINT,playbook",Python,"Graph Analysis,ML on SIEM Logs,NLP on Threat Reports",Python,"Elastic,Splunk","stix2, taxii2, pandas",,"MITRE ATT&CK Evaluations,APT datasets","Automated Threat Hunting,Attribution,Dark Web Intelligence","Enterprise SOC,Government,Financial Institutions",Expert,"Security,Government,Finance",Yes,High,"Machine Learning,Networking",AcadEval Research Team,
