Project_ID,Title,Abstract,Domain,Sub_Domain,Keywords,Objectives,Problem_Statement,Methodology,Modules,Technologies,Algorithms,Dataset_Used,Programming_Languages,Frameworks,Tools,Hardware,Expected_Output,GitHub_Link,Paper_Link,Authors,Institution,Year,Source,Publication_Type,Faculty_Label,Notes
P000081,ROS 2,"ROS 2 is an open-source project focused on robot middleware. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Robot Middleware, Distributed publish-subscribe communication, C++, Python","Develop and evaluate a reliable robot middleware solution that can be reproduced, extended and integrated into real applications.","Existing robot middleware solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Robot sensor and actuator data; preprocess the inputs; apply Distributed publish-subscribe communication; train, configure or execute the system using C++, Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C++, FastAPI, Git, Python",Distributed publish-subscribe communication,Robot sensor and actuator data,Python,FastAPI,Git,N/A,"A working robot middleware system with reproducible results, documented configuration and measurable output.",https://github.com/ros2/ros2,N/A,ROS 2 contributors,Open Robotics,2015,https://github.com/ros2/ros2,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000082,Autoware Universe,"Autoware Universe is an open-source project focused on autonomous driving. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Autonomous Driving, Localization, planning, control, C++, Python","Develop and evaluate a reliable autonomous driving solution that can be reproduced, extended and integrated into real applications.","Existing autonomous driving solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load LiDAR, camera and map data; preprocess the inputs; apply Localization, planning and control; train, configure or execute the system using C++, Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C++, FastAPI, Git, Python","Localization, planning and control","LiDAR, camera and map data",Python,FastAPI,Git,N/A,"A working autonomous driving system with reproducible results, documented configuration and measurable output.",https://github.com/autowarefoundation/autoware.universe,N/A,Autoware Universe contributors,Autoware Foundation,2021,https://github.com/autowarefoundation/autoware.universe,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000083,PX4 Autopilot,"PX4 Autopilot is an open-source project focused on drone autopilot. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Drone Autopilot, State estimation, flight control, C++, C","Develop and evaluate a reliable drone autopilot solution that can be reproduced, extended and integrated into real applications.","Existing drone autopilot solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load IMU, GPS and flight logs; preprocess the inputs; apply State estimation and flight control; train, configure or execute the system using C++, C; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C, C++, FastAPI, Git, Python",State estimation and flight control,"IMU, GPS and flight logs",Python,FastAPI,Git,N/A,"A working drone autopilot system with reproducible results, documented configuration and measurable output.",https://github.com/PX4/PX4-Autopilot,N/A,PX4 Autopilot contributors,Dronecode Foundation,2012,https://github.com/PX4/PX4-Autopilot,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000084,ArduPilot,"ArduPilot is an open-source project focused on autonomous vehicles. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Autonomous Vehicles, Navigation, stabilization, mission planning, C++","Develop and evaluate a reliable autonomous vehicles solution that can be reproduced, extended and integrated into real applications.","Existing autonomous vehicles solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Vehicle sensor data; preprocess the inputs; apply Navigation, stabilization and mission planning; train, configure or execute the system using C++; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C++, FastAPI, Git, Python","Navigation, stabilization and mission planning",Vehicle sensor data,Python,FastAPI,Git,N/A,"A working autonomous vehicles system with reproducible results, documented configuration and measurable output.",https://github.com/ArduPilot/ardupilot,N/A,ArduPilot contributors,ArduPilot community,2009,https://github.com/ArduPilot/ardupilot,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000085,CARLA,"CARLA is an open-source project focused on autonomous driving simulation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Autonomous Driving Simulation, Physics simulation, sensor generation, C++, Python, Unreal Engine","Develop and evaluate a reliable autonomous driving simulation solution that can be reproduced, extended and integrated into real applications.","Existing autonomous driving simulation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Synthetic driving scenarios; preprocess the inputs; apply Physics simulation and sensor generation; train, configure or execute the system using C++, Python, Unreal Engine; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C++, FastAPI, Git, Python, Unreal Engine",Physics simulation and sensor generation,Synthetic driving scenarios,Python,FastAPI,Git,N/A,"A working autonomous driving simulation system with reproducible results, documented configuration and measurable output.",https://github.com/carla-simulator/carla,https://arxiv.org/abs/1711.03938,CARLA contributors,Computer Vision Center,2017,https://github.com/carla-simulator/carla,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000086,Gazebo Sim,"Gazebo Sim is an open-source project focused on robot simulation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Robot Simulation, Physics, sensor simulation, C++","Develop and evaluate a reliable robot simulation solution that can be reproduced, extended and integrated into real applications.","Existing robot simulation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Simulation worlds; preprocess the inputs; apply Physics and sensor simulation; train, configure or execute the system using C++; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C++, FastAPI, Git, Python",Physics and sensor simulation,Simulation worlds,Python,FastAPI,Git,N/A,"A working robot simulation system with reproducible results, documented configuration and measurable output.",https://github.com/gazebosim/gz-sim,N/A,Gazebo Sim contributors,Open Robotics,2019,https://github.com/gazebosim/gz-sim,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000087,scikit-learn,"scikit-learn is an open-source project focused on machine learning library. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Machine Learning Library, Classification, regression, clustering, Python, Cython","Develop and evaluate a reliable machine learning library solution that can be reproduced, extended and integrated into real applications.","Existing machine learning library solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load User-provided tabular datasets; preprocess the inputs; apply Classification, regression and clustering; train, configure or execute the system using Python, Cython; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Cython, Git, Python, Scikit-Learn","Classification, regression and clustering",User-provided tabular datasets,Python,Scikit-Learn,Git,N/A,"A working machine learning library system with reproducible results, documented configuration and measurable output.",https://github.com/scikit-learn/scikit-learn,https://jmlr.org/papers/v12/pedregosa11a.html,scikit-learn contributors,scikit-learn community,2007,https://github.com/scikit-learn/scikit-learn,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000088,XGBoost,"XGBoost is an open-source project focused on gradient boosting. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Gradient Boosting, Gradient-boosted decision trees, C++, Python","Develop and evaluate a reliable gradient boosting solution that can be reproduced, extended and integrated into real applications.","Existing gradient boosting solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Tabular datasets; preprocess the inputs; apply Gradient-boosted decision trees; train, configure or execute the system using C++, Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C++, FastAPI, Git, Python",Gradient-boosted decision trees,Tabular datasets,Python,FastAPI,Git,N/A,"A working gradient boosting system with reproducible results, documented configuration and measurable output.",https://github.com/dmlc/xgboost,https://arxiv.org/abs/1603.02754,XGBoost contributors,DMLC,2014,https://github.com/dmlc/xgboost,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000089,LightGBM,"LightGBM is an open-source project focused on gradient boosting. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Gradient Boosting, Leaf-wise gradient boosting, C++, Python","Develop and evaluate a reliable gradient boosting solution that can be reproduced, extended and integrated into real applications.","Existing gradient boosting solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Tabular datasets; preprocess the inputs; apply Leaf-wise gradient boosting; train, configure or execute the system using C++, Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C++, FastAPI, Git, Python",Leaf-wise gradient boosting,Tabular datasets,Python,FastAPI,Git,N/A,"A working gradient boosting system with reproducible results, documented configuration and measurable output.",https://github.com/microsoft/LightGBM,https://papers.nips.cc/paper/6907-lightgbm-a-highly-efficient-gradient-boosting-decision-tree,LightGBM contributors,Microsoft,2016,https://github.com/microsoft/LightGBM,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000090,Apache Spark,"Apache Spark is an open-source project focused on distributed data processing. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Distributed Data Processing, DAG scheduling, distributed computation, Scala, Java, Python","Develop and evaluate a reliable distributed data processing solution that can be reproduced, extended and integrated into real applications.","Existing distributed data processing solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Large-scale structured and unstructured data; preprocess the inputs; apply DAG scheduling and distributed computation; train, configure or execute the system using Scala, Java, Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, Java, Python, Scala",DAG scheduling and distributed computation,Large-scale structured and unstructured data,"Java, Python",FastAPI,Git,N/A,"A working distributed data processing system with reproducible results, documented configuration and measurable output.",https://github.com/apache/spark,https://www.usenix.org/system/files/conference/nsdi12/nsdi12-final138.pdf,Apache Spark contributors,Apache Software Foundation,2014,https://github.com/apache/spark,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000091,Apache Flink,"Apache Flink is an open-source project focused on stream processing. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Stream Processing, Stateful stream processing, Java, Scala","Develop and evaluate a reliable stream processing solution that can be reproduced, extended and integrated into real applications.","Existing stream processing solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Event streams; preprocess the inputs; apply Stateful stream processing; train, configure or execute the system using Java, Scala; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, Java, Scala",Stateful stream processing,Event streams,Java,FastAPI,Git,N/A,"A working stream processing system with reproducible results, documented configuration and measurable output.",https://github.com/apache/flink,N/A,Apache Flink contributors,Apache Software Foundation,2011,https://github.com/apache/flink,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000092,Apache Airflow,"Apache Airflow is an open-source project focused on workflow orchestration. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Workflow Orchestration, DAG-based scheduling, Python","Develop and evaluate a reliable workflow orchestration solution that can be reproduced, extended and integrated into real applications.","Existing workflow orchestration solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Pipeline metadata; preprocess the inputs; apply DAG-based scheduling; train, configure or execute the system using Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, Python",DAG-based scheduling,Pipeline metadata,Python,FastAPI,Git,N/A,"A working workflow orchestration system with reproducible results, documented configuration and measurable output.",https://github.com/apache/airflow,N/A,Apache Airflow contributors,Apache Software Foundation,2015,https://github.com/apache/airflow,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000093,dbt Core,"dbt Core is an open-source project focused on analytics engineering. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Analytics Engineering, SQL transformation graphs, Python, SQL","Develop and evaluate a reliable analytics engineering solution that can be reproduced, extended and integrated into real applications.","Existing analytics engineering solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Data warehouse tables; preprocess the inputs; apply SQL transformation graphs; train, configure or execute the system using Python, SQL; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, Python, SQL",SQL transformation graphs,Data warehouse tables,"Python, SQL",FastAPI,Git,N/A,"A working analytics engineering system with reproducible results, documented configuration and measurable output.",https://github.com/dbt-labs/dbt-core,N/A,dbt Core contributors,dbt Labs,2016,https://github.com/dbt-labs/dbt-core,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000094,DuckDB,"DuckDB is an open-source project focused on analytical database. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Analytical Database, Vectorized query execution, C++","Develop and evaluate a reliable analytical database solution that can be reproduced, extended and integrated into real applications.","Existing analytical database solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Tabular data and files; preprocess the inputs; apply Vectorized query execution; train, configure or execute the system using C++; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C++, FastAPI, Git, Python",Vectorized query execution,Tabular data and files,Python,FastAPI,Git,N/A,"A working analytical database system with reproducible results, documented configuration and measurable output.",https://github.com/duckdb/duckdb,N/A,DuckDB contributors,DuckDB Foundation,2018,https://github.com/duckdb/duckdb,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000095,PostgreSQL,"PostgreSQL is an open-source project focused on relational database. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Relational Database, Cost-based query optimization, MVCC, C","Develop and evaluate a reliable relational database solution that can be reproduced, extended and integrated into real applications.","Existing relational database solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Relational data; preprocess the inputs; apply Cost-based query optimization and MVCC; train, configure or execute the system using C; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C, FastAPI, PostgreSQL, Python",Cost-based query optimization and MVCC,Relational data,Python,FastAPI,PostgreSQL,N/A,"A working relational database system with reproducible results, documented configuration and measurable output.",https://github.com/postgres/postgres,N/A,PostgreSQL contributors,PostgreSQL Global Development Group,1996,https://github.com/postgres/postgres,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000096,MongoDB,"MongoDB is an open-source project focused on document database. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Document Database, Document storage, distributed replication, C++, JavaScript","Develop and evaluate a reliable document database solution that can be reproduced, extended and integrated into real applications.","Existing document database solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load JSON-like documents; preprocess the inputs; apply Document storage and distributed replication; train, configure or execute the system using C++, JavaScript; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C++, FastAPI, JavaScript, MongoDB",Document storage and distributed replication,JSON-like documents,JavaScript,FastAPI,MongoDB,N/A,"A working document database system with reproducible results, documented configuration and measurable output.",https://github.com/mongodb/mongo,N/A,MongoDB contributors,MongoDB,2009,https://github.com/mongodb/mongo,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000097,Redis,"Redis is an open-source project focused on in-memory data store. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"In-Memory Data Store, Hash tables, streams, persistence, C","Develop and evaluate a reliable in-memory data store solution that can be reproduced, extended and integrated into real applications.","Existing in-memory data store solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Key-value and stream data; preprocess the inputs; apply Hash tables, streams and persistence; train, configure or execute the system using C; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C, FastAPI, Git, Python","Hash tables, streams and persistence",Key-value and stream data,Python,FastAPI,Git,N/A,"A working in-memory data store system with reproducible results, documented configuration and measurable output.",https://github.com/redis/redis,N/A,Redis contributors,Redis community,2009,https://github.com/redis/redis,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000098,Elasticsearch,"Elasticsearch is an open-source project focused on search engine. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Computer Science,General Software Engineering,"Search Engine, Inverted indexing, distributed search, Java","Develop and evaluate a reliable search engine solution that can be reproduced, extended and integrated into real applications.","Existing search engine solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Documents and logs; preprocess the inputs; apply Inverted indexing and distributed search; train, configure or execute the system using Java; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, Java",Inverted indexing and distributed search,Documents and logs,Java,FastAPI,Git,N/A,"A working search engine system with reproducible results, documented configuration and measurable output.",https://github.com/elastic/elasticsearch,N/A,Elasticsearch contributors,Elastic,2010,https://github.com/elastic/elasticsearch,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000099,Bitcoin Core,"Bitcoin Core is an open-source project focused on cryptocurrency. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Blockchain,Decentralized Systems,"Cryptocurrency, Proof of work, UTXO validation, C++","Develop and evaluate a reliable cryptocurrency solution that can be reproduced, extended and integrated into real applications.","Existing cryptocurrency solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Bitcoin blockchain; preprocess the inputs; apply Proof of work and UTXO validation; train, configure or execute the system using C++; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C++, FastAPI, Git, Python",Proof of work and UTXO validation,Bitcoin blockchain,Python,FastAPI,Git,N/A,"A working cryptocurrency system with reproducible results, documented configuration and measurable output.",https://github.com/bitcoin/bitcoin,https://bitcoin.org/bitcoin.pdf,Bitcoin Core contributors,Bitcoin Core contributors,2009,https://github.com/bitcoin/bitcoin,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000100,Go Ethereum,"Go Ethereum is an open-source project focused on smart contract platform. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Blockchain,Decentralized Systems,"Smart Contract Platform, Ethereum Virtual Machine, proof-of-stake client, Go","Develop and evaluate a reliable smart contract platform solution that can be reproduced, extended and integrated into real applications.","Existing smart contract platform solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Ethereum blockchain; preprocess the inputs; apply Ethereum Virtual Machine and proof-of-stake client; train, configure or execute the system using Go; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, Go",Ethereum Virtual Machine and proof-of-stake client,Ethereum blockchain,Go,FastAPI,Git,N/A,"A working smart contract platform system with reproducible results, documented configuration and measurable output.",https://github.com/ethereum/go-ethereum,https://ethereum.org/en/whitepaper/,Go Ethereum contributors,Ethereum Foundation,2015,https://github.com/ethereum/go-ethereum,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000101,ERPNext,"ERPNext is an open-source project for enterprise resource planning. It provides production-ready services, extensible components and documented deployment workflows.",Computer Science,General Software Engineering,"Enterprise Resource Planning, Python, JavaScript, MariaDB, Role-based workflows, accounting rules and document processing","Build a reliable and extensible enterprise resource planning solution that can be deployed, administered and integrated with other systems.","Organizations need a maintainable enterprise resource planning platform that avoids fragmented tools, manual workflows and difficult integrations.","Configure the platform, connect business transactions and master data, apply role-based workflows, accounting rules and document processing, validate functionality and deploy the solution using Python, JavaScript, MariaDB.",authentication; data layer; core services; user interface; administration,"FastAPI, Git, JavaScript, MariaDB, Python","Role-based workflows, accounting rules and document processing",Business transactions and master data,"JavaScript, Python",FastAPI,Git,N/A,"A deployable enterprise resource planning platform with functional APIs or interfaces, persistent data and measurable operational results.",https://github.com/frappe/erpnext,N/A,ERPNext contributors,Frappe Technologies,2008,https://github.com/frappe/erpnext,Open-source software project,Very Good,"Repository link and core technology details are curated. Abstract, objectives, problem statement, methodology, modules, hardware and expected output are project-aligned inferred values."
P000102,Frappe Framework,"Frappe Framework is an open-source project for full-stack web framework. It provides production-ready services, extensible components and documented deployment workflows.",Computer Science,General Software Engineering,"Full-Stack Web Framework, Python, JavaScript, MariaDB, Metadata-driven document model and REST APIs","Build a reliable and extensible full-stack web framework solution that can be deployed, administered and integrated with other systems.","Organizations need a maintainable full-stack web framework platform that avoids fragmented tools, manual workflows and difficult integrations.","Configure the platform, connect application documents and relational data, apply metadata-driven document model and rest apis, validate functionality and deploy the solution using Python, JavaScript, MariaDB.",authentication; data layer; core services; user interface; administration,"FastAPI, Git, JavaScript, MariaDB, Python",Metadata-driven document model and REST APIs,Application documents and relational data,"JavaScript, Python",FastAPI,Git,N/A,"A deployable full-stack web framework platform with functional APIs or interfaces, persistent data and measurable operational results.",https://github.com/frappe/frappe,N/A,Frappe Framework contributors,Frappe Technologies,2008,https://github.com/frappe/frappe,Open-source software project,Very Good,"Repository link and core technology details are curated. Abstract, objectives, problem statement, methodology, modules, hardware and expected output are project-aligned inferred values."
P000103,Appwrite,"Appwrite is an open-source project for backend-as-a-service. It provides production-ready services, extensible components and documented deployment workflows.",Computer Science,General Software Engineering,"Backend-as-a-Service, TypeScript, PHP, Docker, API services, authentication and event-driven functions","Build a reliable and extensible backend-as-a-service solution that can be deployed, administered and integrated with other systems.","Organizations need a maintainable backend-as-a-service platform that avoids fragmented tools, manual workflows and difficult integrations.","Configure the platform, connect application users, files and database records, apply api services, authentication and event-driven functions, validate functionality and deploy the solution using TypeScript, PHP, Docker.",configuration; control plane; runtime services; observability; administration,"Docker, FastAPI, PHP, TypeScript","API services, authentication and event-driven functions","Application users, files and database records","PHP, TypeScript",FastAPI,Docker,N/A,"A deployable backend-as-a-service platform with functional APIs or interfaces, persistent data and measurable operational results.",https://github.com/appwrite/appwrite,N/A,Appwrite contributors,Appwrite,2019,https://github.com/appwrite/appwrite,Open-source software project,Very Good,"Repository link and core technology details are curated. Abstract, objectives, problem statement, methodology, modules, hardware and expected output are project-aligned inferred values."
P000104,Supabase,"Supabase is an open-source project for backend-as-a-service. It provides production-ready services, extensible components and documented deployment workflows.",Computer Science,General Software Engineering,"Backend-as-a-Service, TypeScript, PostgreSQL, PostgreSQL services, realtime replication and authentication","Build a reliable and extensible backend-as-a-service solution that can be deployed, administered and integrated with other systems.","Organizations need a maintainable backend-as-a-service platform that avoids fragmented tools, manual workflows and difficult integrations.","Configure the platform, connect application databases and user events, apply postgresql services, realtime replication and authentication, validate functionality and deploy the solution using TypeScript, PostgreSQL.",configuration; control plane; runtime services; observability; administration,"FastAPI, PostgreSQL, TypeScript","PostgreSQL services, realtime replication and authentication",Application databases and user events,TypeScript,FastAPI,PostgreSQL,N/A,"A deployable backend-as-a-service platform with functional APIs or interfaces, persistent data and measurable operational results.",https://github.com/supabase/supabase,N/A,Supabase contributors,Supabase,2020,https://github.com/supabase/supabase,Open-source software project,Very Good,"Repository link and core technology details are curated. Abstract, objectives, problem statement, methodology, modules, hardware and expected output are project-aligned inferred values."
P000105,PocketBase,"PocketBase is an open-source project for embedded backend platform. It provides production-ready services, extensible components and documented deployment workflows.",Computer Science,General Software Engineering,"Embedded Backend Platform, Go, SQLite, Embedded database, authentication and realtime subscriptions","Build a reliable and extensible embedded backend platform solution that can be deployed, administered and integrated with other systems.","Organizations need a maintainable embedded backend platform platform that avoids fragmented tools, manual workflows and difficult integrations.","Configure the platform, connect application records and files, apply embedded database, authentication and realtime subscriptions, validate functionality and deploy the solution using Go, SQLite.",configuration; control plane; runtime services; observability; administration,"FastAPI, Go, SQLite","Embedded database, authentication and realtime subscriptions",Application records and files,Go,FastAPI,SQLite,N/A,"A deployable embedded backend platform platform with functional APIs or interfaces, persistent data and measurable operational results.",https://github.com/pocketbase/pocketbase,N/A,PocketBase contributors,PocketBase community,2022,https://github.com/pocketbase/pocketbase,Open-source software project,Very Good,"Repository link and core technology details are curated. Abstract, objectives, problem statement, methodology, modules, hardware and expected output are project-aligned inferred values."
P000106,Directus,"Directus is an open-source project for headless cms and data platform. It provides production-ready services, extensible components and documented deployment workflows.",Computer Science,General Software Engineering,"Headless CMS and Data Platform, TypeScript, Node.js, Vue, Dynamic API generation and role-based access control","Build a reliable and extensible headless cms and data platform solution that can be deployed, administered and integrated with other systems.","Organizations need a maintainable headless cms and data platform platform that avoids fragmented tools, manual workflows and difficult integrations.","Configure the platform, connect sql database content, apply dynamic api generation and role-based access control, validate functionality and deploy the solution using TypeScript, Node.js, Vue.",content model; authoring; media management; APIs; publishing,"Git, Node.js, TypeScript, Vue",Dynamic API generation and role-based access control,SQL database content,TypeScript,Node.js,Git,N/A,"A deployable headless cms and data platform platform with functional APIs or interfaces, persistent data and measurable operational results.",https://github.com/directus/directus,N/A,Directus contributors,Directus,2004,https://github.com/directus/directus,Open-source software project,Very Good,"Repository link and core technology details are curated. Abstract, objectives, problem statement, methodology, modules, hardware and expected output are project-aligned inferred values."
P000107,Strapi,"Strapi is an open-source project for headless cms. It provides production-ready services, extensible components and documented deployment workflows.",Computer Science,General Software Engineering,"Headless CMS, JavaScript, TypeScript, Node.js, Content modeling, REST and GraphQL APIs","Build a reliable and extensible headless cms solution that can be deployed, administered and integrated with other systems.","Organizations need a maintainable headless cms platform that avoids fragmented tools, manual workflows and difficult integrations.","Configure the platform, connect content records and media assets, apply content modeling, rest and graphql apis, validate functionality and deploy the solution using JavaScript, TypeScript, Node.js.",content model; authoring; media management; APIs; publishing,"Git, JavaScript, Node.js, TypeScript","Content modeling, REST and GraphQL APIs",Content records and media assets,"JavaScript, TypeScript",Node.js,Git,N/A,"A deployable headless cms platform with functional APIs or interfaces, persistent data and measurable operational results.",https://github.com/strapi/strapi,N/A,Strapi contributors,Strapi,2015,https://github.com/strapi/strapi,Open-source software project,Very Good,"Repository link and core technology details are curated. Abstract, objectives, problem statement, methodology, modules, hardware and expected output are project-aligned inferred values."
