Project_ID,Title,Abstract,Domain,Sub_Domain,Keywords,Objectives,Problem_Statement,Methodology,Modules,Technologies,Algorithms,Dataset_Used,Programming_Languages,Frameworks,Tools,Hardware,Expected_Output,GitHub_Link,Paper_Link,Authors,Institution,Year,Source,Publication_Type,Faculty_Label,Notes
P000432,Awesome Tensorflow,Academic engineering project repository: TensorFlow - A curated list of dedicated resources http://tensorflow.org. Developed using Python with focus on Machine Learning Project.,AI,Machine Learning,"Academic Project, Artificial Intelligence, Engineering","Design, evaluate, and benchmark a functional prototype for Awesome Tensorflow.","Addressing key efficiency, security, or accuracy challenges in Awesome Tensorflow.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","Git, Python, TensorFlow","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,TensorFlow,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/jtoy/awesome-tensorflow,,jtoy,Department of Computer Science & Engineering,2016,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000433,Ml Youtube Courses,Academic engineering project repository: 📺 Discover the latest machine learning / AI courses on YouTube.. Developed using Python with focus on Machine Learning Project.,AI,Machine Learning,"ai, data-science, deep-learning, machine-learning, natural-language-processing, nlp","Design, evaluate, and benchmark a functional prototype for Ml Youtube Courses.","Addressing key efficiency, security, or accuracy challenges in Ml Youtube Courses.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","Git, Python, TensorFlow","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,TensorFlow,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/dair-ai/ML-YouTube-Courses,,dair-ai,Department of Computer Science & Engineering,2021,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000434,Awesome Pytorch List,"Academic engineering project repository: A comprehensive list of pytorch related content on github,such as different models,implementations,helper libraries,tutorials etc.. Developed using Python with focus on Machine Learning Project.",AI,Machine Learning,"awesome, awesome-list, computer-vision, cv, data-science, deep-learning, facebook, machine-learning, natural-language-processing, neural-network, nlp, nlp-library, papers, probabilistic-programming, python, pytorch, pytorch-model, pytorch-tutorials, tutorials, utility-library","Design, evaluate, and benchmark a functional prototype for Awesome Pytorch List.","Addressing key efficiency, security, or accuracy challenges in Awesome Pytorch List.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","Git, PyTorch, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,PyTorch,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/bharathgs/Awesome-pytorch-list,,bharathgs,Department of Computer Science & Engineering,2017,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000435,Exercises Dataset,"Academic engineering project repository: 1,324-exercise fitness dataset — animation GIFs, 180×180 thumbnails, muscle-group & equipment data, and step-by-step instructions in 6 languages. The exercise data layer behind the LogPress app.. Developed using HTML with focus on Machine Learning Project.",AI,Machine Learning,"dataset, exercise-database, exercises, fitness, fitness-app, gym, json, logpress, react-native, workout","Design, evaluate, and benchmark a functional prototype for Exercises Dataset.","Addressing key efficiency, security, or accuracy challenges in Exercises Dataset.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, HTML, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/hasaneyldrm/exercises-dataset,,hasaneyldrm,Department of Computer Science & Engineering,2026,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000436,Imgaug,Academic engineering project repository: Image augmentation for machine learning experiments.. Developed using Python with focus on Machine Learning Project.,AI,Machine Learning,"affine-transformation, augment-images, augmentation, bounding-boxes, contrast, crop, deep-learning, heatmap, image-augmentation, images, keypoints, machine-learning, polygon, segmentation-maps","Design, evaluate, and benchmark a functional prototype for Imgaug.","Addressing key efficiency, security, or accuracy challenges in Imgaug.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/aleju/imgaug,,aleju,Department of Computer Science & Engineering,2015,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000437,Awesome Bigdata,"Academic engineering project repository: A curated list of awesome big data frameworks, ressources and other awesomeness.. Developed using Python with focus on Machine Learning Project.",AI,Machine Learning,"awesome, awesome-list, bigdata, data, data-analytics, data-science, data-stream, data-visualization, data-warehouse, database, distributed-database, series-database, stream-processing, streaming-data, visualize-data","Design, evaluate, and benchmark a functional prototype for Awesome Bigdata.","Addressing key efficiency, security, or accuracy challenges in Awesome Bigdata.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/oxnr/awesome-bigdata,,oxnr,Department of Computer Science & Engineering,2014,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000438,Awesome Mlops,Academic engineering project repository: A curated list of references for MLOps . Developed using Python with focus on Machine Learning Project.,AI,Machine Learning,"ai, data-science, devops, engineering, federated-learning, machine-learning, ml, mlops, software-engineering","Design, evaluate, and benchmark a functional prototype for Awesome Mlops.","Addressing key efficiency, security, or accuracy challenges in Awesome Mlops.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/visenger/awesome-mlops,,visenger,Department of Computer Science & Engineering,2020,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000439,Halfrost Field,"Academic engineering project repository: ✍🏻 Source Code Deep Dives, System Design & Engineering Blogs | Halfrost-Field 冰霜之地：源码解析、系统设计与工程实践笔记 . Developed using Go with focus on Machine Learning Project.",AI,Machine Learning,"algorithms, blog, cryptography, go, golang, http2, inference-engine, ios, javascript, llm, machine-learning, network-protocols, objective-c, protobuf, source-code-analysis, swift, system-design, technical-writing, tls, vllm","Design, evaluate, and benchmark a functional prototype for Halfrost Field.","Addressing key efficiency, security, or accuracy challenges in Halfrost Field.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, Go","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Go,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/halfrost/Halfrost-Field,,halfrost,Department of Computer Science & Engineering,2017,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000440,Machine Learning Systems Design,"Academic engineering project repository: A booklet on machine learning systems design with exercises. NOT the repo for the book ""Designing Machine Learning Systems"", which is `dmls-book`. Developed using HTML with focus on Machine Learning Project.",AI,Machine Learning,"data-science, machine-learning-production, mlops","Design, evaluate, and benchmark a functional prototype for Machine Learning Systems Design.","Addressing key efficiency, security, or accuracy challenges in Machine Learning Systems Design.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, HTML, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/chiphuyen/machine-learning-systems-design,,chiphuyen,Department of Computer Science & Engineering,2019,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000441,Awesome Project Ideas,"Academic engineering project repository: Curated list of Machine Learning, NLP, Vision, Recommender Systems Project Ideas. Developed using Python with focus on Machine Learning Project.",AI,Machine Learning,"awesome, awesome-list, classification, dataset, deep-learning, forecasting, image-classification, machine-learning, multi-label-classification, series-forecasting","Design, evaluate, and benchmark a functional prototype for Awesome Project Ideas.","Addressing key efficiency, security, or accuracy challenges in Awesome Project Ideas.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/NirantK/awesome-project-ideas,,NirantK,Department of Computer Science & Engineering,2017,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000442,Data Analysis And Machine Learning Projects,"Academic engineering project repository: Repository of teaching materials, code, and data for my data analysis and machine learning projects.. Developed using Jupyter Notebook with focus on Machine Learning Project.",AI,Machine Learning,"data-analysis, data-science, evolutionary-algorithm, ipython-notebook, machine-learning, python","Design, evaluate, and benchmark a functional prototype for Data Analysis And Machine Learning Projects.","Addressing key efficiency, security, or accuracy challenges in Data Analysis And Machine Learning Projects.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Jupyter, Jupyter Notebook, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Jupyter,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/rhiever/Data-Analysis-and-Machine-Learning-Projects,,rhiever,Department of Computer Science & Engineering,2015,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000443,Snorkel,Academic engineering project repository: A system for quickly generating training data with weak supervision. Developed using Python with focus on Machine Learning Project.,AI,Machine Learning,"ai, data-augmentation, data-science, data-slicing, labeling, machine-learning, python, snorkel, training-data, weak-supervision","Design, evaluate, and benchmark a functional prototype for Snorkel.","Addressing key efficiency, security, or accuracy challenges in Snorkel.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/snorkel-team/snorkel,,snorkel-team,Department of Computer Science & Engineering,2016,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000444,Deeplearning.Ai Summary,Academic engineering project repository: This repository contains my personal notes and summaries on DeepLearning.ai specialization courses. I've enjoyed every little bit of the course hope you enjoy my notes too.. Developed using Python with focus on Machine Learning Project.,AI,Machine Learning,"andrew-ng, coursera, deep-learning, neural-network","Design, evaluate, and benchmark a functional prototype for Deeplearning.Ai Summary.","Addressing key efficiency, security, or accuracy challenges in Deeplearning.Ai Summary.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/mbadry1/DeepLearning.ai-Summary,,mbadry1,Department of Computer Science & Engineering,2017,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000445,Datascience,Academic engineering project repository: This repository is a compilation of free resources for learning Data Science.. Developed using Python with focus on Machine Learning Project.,AI,Machine Learning,"artificial-intelligence, computer-vision, data-science, datascienceproject, deeplearning, machine-learning, machine-learning-algorithms, natural-language-processing, neural-networks","Design, evaluate, and benchmark a functional prototype for Datascience.","Addressing key efficiency, security, or accuracy challenges in Datascience.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/sreeharierk/datascience,,sreeharierk,Department of Computer Science & Engineering,2021,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000446,Machine Learning Complete,"Academic engineering project repository: A comprehensive machine learning repository containing 30+ notebooks on different concepts, algorithms and techniques.. Developed using Jupyter Notebook with focus on Machine Learning Project.",AI,Machine Learning,"computer-vision, data-analysis, data-science, data-visualization, datascience, deep-learning, keras, machine-learning, matplotlib, neural-networks, nlp, numpy, open-source, pandas, python, scikit-learn, seaborn, tensorflow","Design, evaluate, and benchmark a functional prototype for Machine Learning Complete.","Addressing key efficiency, security, or accuracy challenges in Machine Learning Complete.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Jupyter, Jupyter Notebook, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Jupyter,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/Nyandwi/machine_learning_complete,,Nyandwi,Department of Computer Science & Engineering,2021,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000447,Smart Health Monitoring System 1,"Academic engineering project repository: Comprehensive IoT Project for Healthcare domain utilizing Python, OpenCV, TensorFlow.. Developed using Python with focus on IoT Project.",Healthcare,Medical Informatics,"iot-project, healthcare, student-project","Design, evaluate, and benchmark a functional prototype for Smart Health Monitoring System 1.","Addressing key efficiency, security, or accuracy challenges in Smart Health Monitoring System 1.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","Git, OpenCV, Python, TensorFlow","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,"OpenCV, TensorFlow",Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/academic-user/smart-health-monitoring-system-1,,student_dev_1,Department of Computer Science & Engineering,2022,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000448,Ai Crop Disease Detection 2,"Academic engineering project repository: Comprehensive IoT Project for Agriculture domain utilizing Python, PyTorch, FastAPI.. Developed using Python with focus on IoT Project.",IoT,Embedded Sensor Networks,"iot-project, agriculture, student-project","Design, evaluate, and benchmark a functional prototype for Ai Crop Disease Detection 2.","Addressing key efficiency, security, or accuracy challenges in Ai Crop Disease Detection 2.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, PyTorch, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,"FastAPI, PyTorch",Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/academic-user/ai-crop-disease-detection-2,,student_dev_2,Department of Computer Science & Engineering,2022,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000449,Blockchain Voting Dapp 3,"Academic engineering project repository: Comprehensive IoT Project for Blockchain domain utilizing JavaScript, Solidity, React.. Developed using JavaScript with focus on IoT Project.",IoT,Embedded Sensor Networks,"iot-project, blockchain, student-project","Design, evaluate, and benchmark a functional prototype for Blockchain Voting Dapp 3.","Addressing key efficiency, security, or accuracy challenges in Blockchain Voting Dapp 3.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","Git, JavaScript, React","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,JavaScript,React,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/academic-user/blockchain-voting-dapp-3,,student_dev_3,Department of Computer Science & Engineering,2022,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000450,Iot Smart Grid Analytics 4,"Academic engineering project repository: Comprehensive IoT Project for IoT domain utilizing C++, Python, MQTT.. Developed using Python with focus on IoT Project.",IoT,Embedded Sensor Networks,"iot-project, iot, student-project","Design, evaluate, and benchmark a functional prototype for Iot Smart Grid Analytics 4.","Addressing key efficiency, security, or accuracy challenges in Iot Smart Grid Analytics 4.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/academic-user/iot-smart-grid-analytics-4,,student_dev_4,Department of Computer Science & Engineering,2022,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000451,Nlp Academic Plagiarism Detector 5,"Academic engineering project repository: Comprehensive IoT Project for NLP domain utilizing Python, NLTK, Scikit-Learn.. Developed using Python with focus on IoT Project.",IoT,Embedded Sensor Networks,"iot-project, nlp, student-project","Design, evaluate, and benchmark a functional prototype for Nlp Academic Plagiarism Detector 5.","Addressing key efficiency, security, or accuracy challenges in Nlp Academic Plagiarism Detector 5.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","Git, Python, Scikit-Learn","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,Scikit-Learn,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/academic-user/nlp-academic-plagiarism-detector-5,,student_dev_5,Department of Computer Science & Engineering,2022,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000452,Smart Health Monitoring System 6,"Academic engineering project repository: Comprehensive IoT Project for Healthcare domain utilizing Python, OpenCV, TensorFlow.. Developed using Python with focus on IoT Project.",Healthcare,Medical Informatics,"iot-project, healthcare, student-project","Design, evaluate, and benchmark a functional prototype for Smart Health Monitoring System 6.","Addressing key efficiency, security, or accuracy challenges in Smart Health Monitoring System 6.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","Git, OpenCV, Python, TensorFlow","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,"OpenCV, TensorFlow",Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/academic-user/smart-health-monitoring-system-6,,student_dev_6,Department of Computer Science & Engineering,2022,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000453,Ai Crop Disease Detection 7,"Academic engineering project repository: Comprehensive IoT Project for Agriculture domain utilizing Python, PyTorch, FastAPI.. Developed using Python with focus on IoT Project.",IoT,Embedded Sensor Networks,"iot-project, agriculture, student-project","Design, evaluate, and benchmark a functional prototype for Ai Crop Disease Detection 7.","Addressing key efficiency, security, or accuracy challenges in Ai Crop Disease Detection 7.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, PyTorch, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,"FastAPI, PyTorch",Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/academic-user/ai-crop-disease-detection-7,,student_dev_7,Department of Computer Science & Engineering,2022,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000454,Blockchain Voting Dapp 8,"Academic engineering project repository: Comprehensive IoT Project for Blockchain domain utilizing JavaScript, Solidity, React.. Developed using JavaScript with focus on IoT Project.",IoT,Embedded Sensor Networks,"iot-project, blockchain, student-project","Design, evaluate, and benchmark a functional prototype for Blockchain Voting Dapp 8.","Addressing key efficiency, security, or accuracy challenges in Blockchain Voting Dapp 8.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","Git, JavaScript, React","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,JavaScript,React,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/academic-user/blockchain-voting-dapp-8,,student_dev_8,Department of Computer Science & Engineering,2022,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000455,Iot Smart Grid Analytics 9,"Academic engineering project repository: Comprehensive IoT Project for IoT domain utilizing C++, Python, MQTT.. Developed using Python with focus on IoT Project.",IoT,Embedded Sensor Networks,"iot-project, iot, student-project","Design, evaluate, and benchmark a functional prototype for Iot Smart Grid Analytics 9.","Addressing key efficiency, security, or accuracy challenges in Iot Smart Grid Analytics 9.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","FastAPI, Git, Python","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,FastAPI,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/academic-user/iot-smart-grid-analytics-9,,student_dev_9,Department of Computer Science & Engineering,2022,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000456,Nlp Academic Plagiarism Detector 10,"Academic engineering project repository: Comprehensive IoT Project for NLP domain utilizing Python, NLTK, Scikit-Learn.. Developed using Python with focus on IoT Project.",IoT,Embedded Sensor Networks,"iot-project, nlp, student-project","Design, evaluate, and benchmark a functional prototype for Nlp Academic Plagiarism Detector 10.","Addressing key efficiency, security, or accuracy challenges in Nlp Academic Plagiarism Detector 10.",Empirical research methodology combined with iterative prototype development and quantitative validation.,"Data Preprocessing Module, Core Computational Model, API Service Layer, Evaluation Dashboard","Git, Python, Scikit-Learn","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,Scikit-Learn,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",https://github.com/academic-user/nlp-academic-plagiarism-detector-10,,student_dev_10,Department of Computer Science & Engineering,2022,GitHub,Project Repository,Approved - High Quality,Ingested from GitHub stream.
P000457,Automated Student Academic Project Evaluation using NLP and Deep Learning,"This college project presents an end-to-end NLP and machine learning platform to evaluate student final year reports. Features include domain detection, plagiarism analysis, and automated grade recommendation.",AI,Machine Learning,"Academic Project, Artificial Intelligence, Engineering","Automate project rubric assessment, detect domain mismatch, and calculate novelty metrics.",Manual evaluation of hundreds of capstone engineering projects is error-prone and time-consuming.,Sentence-BERT embedding similarity combined with Random Forest classification.,"Report Parser, Feature Extractor, Similarity Engine, Rubric Generator","FastAPI, Git, PyTorch, Python, React, Transformers","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,"FastAPI, PyTorch, React, Transformers",Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",,,Student Developer Group,Institute of Technology & Science,2023,College Projects,Conference/Journal Paper,Approved - High Quality,Ingested from College Projects stream.
P000458,IoT Based Smart Precision Agriculture and Crop Health Monitoring,"Implementation of an IoT sensor network with ESP32 microcontrollers and computer vision to monitor soil moisture, temperature, and leaf pathology in real time.",AI,Machine Learning,"Academic Project, Artificial Intelligence, Engineering",Deploy wireless sensor nodes and leaf disease image classification model.,Crop yield losses due to unmonitored soil degradation and delayed pest identification.,Edge computing on ESP32 connected to cloud MQTT broker with ResNet leaf classification.,"Sensor Node Module, Cloud Gateway, Image Classifier, Farmer Mobile Dashboard","C++, ESP32, Git, MQTT, OpenCV, Python, TensorFlow","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,"OpenCV, TensorFlow",Git,ESP32,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",,,Student Developer Group,College of Agricultural Engineering,2024,College Projects,Conference/Journal Paper,Approved - High Quality,Ingested from College Projects stream.
P000459,Blockchain Driven Secure Academic Credential Verification System,A decentralized application (DApp) utilizing Ethereum smart contracts to issue and verify immutable university academic transcripts and project certificates.,AI,DeFi / Smart Contracts,"Academic Project, Artificial Intelligence, Engineering",Prevent credential forgery and streamline employer degree verification.,High incidence of fake academic certificates and manual verification delays.,Solidity smart contracts deployed on Ethereum testnet with IPFS document storage.,"Issuer Portal, Student Wallet, Verifier Gateway, Smart Contract Registry","Ethereum, Git, IPFS, Python, React, Solidity, Web3.js","Convolutional Neural Networks, Transformer Architecture, Random Forest",Standard Public Benchmark Dataset / Custom Academic Collection,Python,React,Git,,"High-accuracy trained model weights, evaluation performance metrics, and interactive dashboard.",,,Student Developer Group,School of Computer Applications,2023,College Projects,Conference/Journal Paper,Approved - High Quality,Ingested from College Projects stream.
P000460,IoT-Based Non-Invasive Real-Time Wearable Health and Vitals Monitor (Implementation Phase 1),"This hardware-software co-design research project focuses on iot-based non-invasive real-time wearable health and vitals monitor. Lack of affordable, continuous remote vitals monitoring for post-operative patients in low-resource clinics. The system incorporates custom embedded circuitry, sensor acquisition logic, and cloud monitoring interfaces.",Healthcare,Medical Informatics,"IoT, Health Monitoring, Pulse Oximeter, MAX30102, ESP32, MQTT, Edge Computing","Design an ultra-low-power wearable wristband that continuously streams SpO2, heart rate, and body temperature to a cloud dashboard.","Lack of affordable, continuous remote vitals monitoring for post-operative patients in low-resource clinics.","Hardware circuit design with ESP32-PICO-D4, sensor fusion algorithm, and WebSockets cloud API server.","Biometric Sensor Acquisition Module, ESP32 Wireless Transceiver Unit, MQTT Broker Service, React Doctor Dashboard","C++, ESP32, MQTT, MongoDB, Node.js, Python, React","Kalman Filter for Noise Reduction, Peak Detection Algorithm, Moving Average Smoothing",PhysioNet MIMIC-III Waveform Database & Custom Volunteer Test Logs,Python,"Node.js, React",MongoDB,ESP32,"Fully fabricated 2-layer PCB prototype, 3D printed enclosure, and live web dashboard with emergency SMS alert triggers.",https://github.com/acad-eval-hw/project-hw-001,https://doi.org/10.1109/THW.2022.10000,"Eng. Student 1, Prof. Hardware Supervisor 1",Department of Electrical & Embedded Systems Engineering,2020,Synthetic Generator (Hardware),Capstone Hardware Project,Needs Minor Hardware Revision,Synthetic benchmark corpus record concentrating on Embedded Hardware & Sensor Systems.
